,t[s],P[kPa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],H_gas[J],W_work[J],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,soot_mass[ug/g],volume_fraction,SSA[m2/g],total_carbon_mass_per_kggas[kg/kg],carbon_yield,total_hydrogen_mass_kggas[kg/kg],total_carbon_mass[kg],total_hydrogen_mass[kg],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],H_soot[J]
0,0.0,470147.9999999999,2355.0,0.9018347921716457,0.037559300000000004,0.901834792171646,1122498.4537028589,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644647e-20,3.321078330291316e-23,1.3013242704476079e-17,9.018348513700229e-07,9.018348513700229e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095879e-16,2.815606513995398e-25,23.156240388341484,0.031978764247469996,1.7572353512205422e-20,0.010735024348164103,0.028839562209023166,0.009681218451984133,0.0,-1.3867183390310117e-39,0.0,0.0,1.879694844207709e-15
1,4.443332000200001e-10,470147.99999999994,2354.980508327818,0.9018411546271791,0.03755925411137456,0.901834792171646,1122498.453702858,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644647e-20,3.321078330291316e-23,1.3013242704476079e-17,9.018412138259739e-07,9.018412138259739e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095879e-16,2.8156263781339295e-25,23.156240388341484,0.03197876424747,1.7572353512205422e-20,0.010735024348164106,0.028839562209023173,0.009681218451984136,6.810343820085739e-214,-1.3867222983589568e-39,2.9335841345374978e-123,1.989153545197341e-38,1.879673646646085e-15
2,2.0582232462521315e-08,470148.0,2354.1018770568244,0.9021279781566174,0.03755718191474786,0.901834792171646,1122498.4537028582,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644647e-20,3.321078330291316e-23,1.3013242704476079e-17,9.0212803737424e-07,9.0212803737424e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095879e-16,2.816521866093436e-25,23.156240388341484,0.031978764247469996,1.7572353512205422e-20,0.010735024348164104,0.028839562209023166,0.009681218451984134,1.4974955409860108e-63,-1.3869006969929086e-39,4.3530329609280247e-48,6.004335433349208e-30,1.878718143016251e-15
3,2.0874105377088334e-08,470148.0,2354.0892049655395,0.9021321155329667,0.037557151990423254,0.901834792171646,1122498.4537028584,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644647e-20,3.321078330291316e-23,1.3013242704476079e-17,9.021321747508609e-07,9.021321747508609e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095879e-16,2.816534783341585e-25,23.156240388341484,0.031978764247469996,1.7572353512205422e-20,0.010735024348164101,0.028839562209023166,0.00968121845198413,7.702624738924385e-65,-1.3869032693816268e-39,3.295807911676587e-77,6.47413005353197e-30,1.8787043625809288e-15
4,2.664520580394624e-08,470148.0,2353.83897772284,0.9022138191762912,0.037556560950818225,0.901834792171646,1122498.453702859,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644647e-20,3.321078330291316e-23,1.3013242704476079e-17,9.022138783995486e-07,9.022138783995486e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095879e-16,2.8167898692091507e-25,23.156240388341484,0.03197876424746998,1.7572353512205422e-20,0.010735024348164094,0.028839562209023152,0.009681218451984126,4.315596575024124e-64,-1.3869540641125942e-39,0.0,2.409365410842168e-29,1.878432251656849e-15
5,4.673437439164498e-08,470147.9999999999,2352.9725751112283,0.9024968135896742,0.037554513012671355,0.901834792171646,1122498.4537028577,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644647e-20,3.321078330291358e-23,1.3013242704476079e-17,9.024968728315079e-07,9.024968728315079e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095879e-16,2.817673402335907e-25,23.156240388341484,0.03197876424746997,1.7572353512205422e-20,0.010735024348164087,0.02883956220902314,0.009681218451984119,6.389672783551063e-64,-1.3871299550713582e-39,2.8459553559424685e-48,5.201905139118077e-28,1.8774901076292356e-15
6,7.142843824305783e-08,470147.99999999994,2351.9165806154488,0.9028419744732697,0.03755201517826862,0.901834792171646,1122498.4537028589,0.0,1.660539165145645e-24,1.660539165145645e-24,4.6785625696446494e-20,3.321078330292044e-23,1.3013242704476079e-17,9.028420337377606e-07,9.028420337377606e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095881e-16,2.818751024579654e-25,23.156240388341477,0.03197876424746997,1.7572353512205428e-20,0.010735024348164098,0.02883956220902314,0.009681218451984127,2.5064023522169108e-62,-1.387344419593891e-39,1.7838952959256803e-47,5.3244027152790874e-27,1.8763418605207785e-15
7,1.0321011739102885e-07,470148.0,2350.5708969843295,0.903282224728174,0.03754883014583289,0.901834792171646,1122498.4537028593,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644691e-20,3.321078330299125e-23,1.3013242704476082e-17,9.032822840215639e-07,9.032822840215639e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095934e-16,2.820125524095841e-25,23.156240388341267,0.031978764247469996,1.757235351220559e-20,0.010735024348164094,0.028839562209023166,0.009681218451984126,9.531379470625148e-60,-1.3876178818092372e-39,3.4823693146266212e-46,3.856551945057139e-26,1.874878717211609e-15
8,1.458400016144935e-07,470148.0,2348.7879234597312,0.9038662048367894,0.037544605555590166,0.901834792171646,1122498.4537028586,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569645061e-20,3.3210783303599506e-23,1.3013242704476116e-17,9.038662641685129e-07,9.038662641685129e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267096383e-16,2.821948760693428e-25,23.15624038833948,0.031978764247470017,1.7572353512206975e-20,0.010735024348164101,0.028839562209023183,0.00968121845198413,1.0067466282722187e-54,-1.3879804486570585e-39,1.1333337420110936e-43,2.3322404814700204e-25,1.8729402881397204e-15
9,2.065775858925416e-07,470148.0,2346.2879455819093,0.9046861741092197,0.03753866768833342,0.901834792171646,1122498.4537028598,0.0,1.660539165145645e-24,1.660539165145645e-24,4.6785625696481215e-20,3.3210783308631986e-23,1.3013242704476393e-17,9.046862334947679e-07,9.046862334947679e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267100109e-16,2.824508775949505e-25,23.156240388324616,0.03197876424746999,1.757235351221847e-20,0.010735024348164104,0.02883956220902316,0.009681218451984134,2.471979441861928e-45,-1.3884890736438349e-39,5.626828115115864e-39,1.3242219201751806e-24,1.8702226734044197e-15
10,3.1078286872807544e-07,470148.00000000006,2342.0973332872804,0.9060630489875441,0.037528650782545525,0.901834792171646,1122498.4537028603,0.0,1.660539165145646e-24,1.660539165145646e-24,4.678562569701574e-20,3.321078338896775e-23,1.3013242706857622e-17,9.060631084634736e-07,9.060631084634736e-07,0.0010000000656421532,0.0010000000656421532,1.9999828080458817,1.9999828080458817,1.55037426980301,1.9999828080458817,1.0,5.61975626716512e-16,2.828807498885827e-25,23.15624039229398,0.031978764247469996,1.7572353512419236e-20,0.010735024348164103,0.028839562209023166,0.009681218451984133,5.369852123164968e-44,-1.3893413837451948e-39,6.232922822468756e-48,1.62401238707631e-23,1.8656681203919295e-15
11,4.821444981453475e-07,470147.9999999999,2335.429427850126,0.9082573772019754,0.0375124365999182,0.901834792171646,1122498.4537028612,0.0,1.6605391651456455e-24,1.6605391651456455e-24,4.678562571069273e-20,3.32107852534313e-23,1.3013242827981444e-17,9.082574368219451e-07,9.082574368219451e-07,0.001000000065642153,0.001000000065642153,1.9999828170318978,1.9999828170318978,1.5503742767689124,1.9999828170318978,1.0,5.619756268826659e-16,2.835658382910478e-25,23.156240600979768,0.03197876424747,1.7572353517556218e-20,0.0107350243481641,0.028839562209023173,0.009681218451984129,7.497416896871097e-42,-1.3906927083639316e-39,3.7501317941913246e-57,2.2043564869404548e-22,1.8584233974937977e-15
12,7.200859579529947e-07,470148.0,2326.505174492583,0.9111932180800184,0.03748988373495112,0.901834792171646,1122498.4537028628,0.0,1.6605391651456462e-24,1.6605391651456462e-24,4.6785625901838906e-20,3.3210810362851654e-23,1.3013244819278352e-17,9.111932778927034e-07,9.111932778927034e-07,0.0010000000656421534,0.0010000000656421534,1.9999829647860243,1.9999829647860243,1.5503743913069954,1.9999829647860243,1.0,5.619756292038328e-16,2.8448243447599085e-25,23.15624404872253,0.03197876424747003,1.757235358934938e-20,0.01073502434816411,0.028839562209023197,0.00968121845198414,9.98007741357385e-39,-1.39248015755148e-39,1.1482121206635591e-35,1.899413570028649e-21,1.8487315235864383e-15
13,7.970897607550294e-07,470148.0,2323.6754406005302,0.9121222273444638,0.03748246110999501,0.901834792171646,1122498.4537028617,0.0,1.6605391651456477e-24,1.6605391651456477e-24,4.6785626086908267e-20,3.3210834424350914e-23,1.3013246825893486e-17,9.121222872181318e-07,9.121222872181318e-07,0.0010000000656421543,0.0010000000656421543,1.9999831136817816,1.9999831136817816,1.550374506730063,1.9999831136817816,1.0,5.619756314509548e-16,2.8477248037353137e-25,23.1562475267741,0.03197876424747001,1.7572353658860136e-20,0.010735024348164113,0.02883956220902318,0.009681218451984143,2.406971163803506e-41,-1.3930393820012345e-39,0.0,3.1838397240194495e-21,1.8456594462719217e-15
14,1.056541127726094e-06,470147.9999999999,2314.268637201701,0.9151983643460422,0.037456621049436194,0.901834792171646,1122498.4537028607,0.0,1.6605391651456484e-24,1.6605391651456484e-24,4.678562787302245e-20,3.32110645413598e-23,1.3013266853749357e-17,9.151984244216349e-07,9.151984244216349e-07,0.001000000065642155,0.001000000065642155,1.999984599837735,1.999984599837735,1.5503756587889415,1.999984599837735,1.0,5.619756531359304e-16,2.8573288808461233e-25,23.156282271541247,0.031978764247469996,1.7572354329712124e-20,0.010735024348164111,0.028839562209023166,0.009681218451984141,1.7985498989470555e-39,-1.3948641190593711e-39,4.92148402856047e-36,1.2552117851102723e-20,1.835450732036329e-15
15,1.4138275460121785e-06,470148.00000000006,2301.4574540927624,0.9193466789788568,0.03741811060451237,0.901834792171646,1122498.453702857,0.0,1.6605391651456525e-24,1.6605391651456525e-24,4.67856373316553e-20,3.3212272808083386e-23,1.3013376174030086e-17,9.19346739326756e-07,9.19346739326756e-07,0.0010000000656421573,0.0010000000656421573,1.9999927120608036,1.9999927120608036,1.550381947333956,1.9999927120608036,1.0,5.619757679615024e-16,2.8702808663444435e-25,23.15647206859915,0.03197876424747001,1.7572357882308413e-20,0.01073502434816411,0.02883956220902318,0.00968121845198414,1.0099193053515873e-31,-1.3972495559357552e-39,3.7253900580671494e-32,4.6713754370602145e-20,1.8215568005029187e-15
16,1.782202630252802e-06,470147.99999999994,2288.2256851467696,0.9235729609205321,0.037374006610417426,0.901834792171646,1122498.4537028542,0.0,1.6605391652370126e-24,1.6605391652370126e-24,4.678566640038674e-20,3.321596627545283e-23,1.3013718393525702e-17,9.23573021596667e-07,9.23573021596667e-07,0.0010000000656971756,0.0010000000656971756,2.000018106891568,2.000018106891568,1.550401633249277,2.000018106891568,1.0,5.619761208290507e-16,2.8834774993373393e-25,23.15706648589858,0.031978764247469975,1.757236880032046e-20,0.010735024348164106,0.02883956220902315,0.009681218451984136,2.215694105282192e-27,-1.3995847659494658e-39,5.5762297075936925e-30,1.214664456531862e-19,1.807218606044446e-15
17,2.2014957671949086e-06,470147.9999999999,2273.0156829487514,0.9283613557075738,0.03731806169643747,0.901834792171646,1122498.4537028514,0.0,1.6605398285599565e-24,1.6605398285599565e-24,4.678574494392259e-20,3.3226078667318706e-23,1.3014656446495464e-17,9.283617875437632e-07,9.283617875437632e-07,0.0010000004651595919,0.0010000004651595919,2.00008734286352,2.00008734286352,1.5504553045453633,2.00008734286352,1.0,5.619770744087508e-16,2.898432214859356e-25,23.15869639377732,0.03197876424747002,1.7572398300722718e-20,0.010735024348164106,0.02883956220902319,0.009681218451984136,1.2308136480115404e-23,-1.4021234294815686e-39,4.206808831401009e-28,2.683660826990723e-19,1.7907525969746037e-15
