,t[s],T[K],density[kg/m3],mean_MW[kg/mol],mdot[kg/s,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_v[nm],d_g[nm],n_p,soot_mass[kg/kg],volume_fraction,SSA,total_carbon_mass_flow[kg/s],carbon_yield,total_hydrogen_mass_flow[kg/s],soot_mass_flow[kg/s],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],soot_h[J/m3],C_mass_error,H_mass_error,enthalpy_error
108,0.06819105559368277,1913.1377444495124,0.1592725294406285,0.02500372362680838,0.004866724712486755,5.322716707740882e-11,5.324968316746351e-11,9.164648985777175e-05,1.158513560901067e-05,0.11069340998528199,5105345.4623720795,5107505.119263528,32054149452.52804,32067708958.985523,33.14759176805078,33.15390095805672,33.15226512682879,25.700698417098227,1.0004230187569807,1.1124438063755793e-06,9.84342993899996e-11,99.50472046397468,0.000499331957021528,1.0728759393756062e-05,8.381094208270751e-05,5.4139577637408624e-09,6.262138442738746e-09,-1.5355987787455889e-12,1.4458741873380433e-06,0.00937738928039487,0.015018581673462095,1.631095927877743e-05,1.6310959285873777e-05,-0.0001705039660211349
109,0.07260286469471454,1913.1474613677617,0.1592714643080865,0.025003683409966292,0.004866687972102225,5.2378551599955715e-11,5.239679862544265e-11,8.415674936923534e-05,1.0639054266131093e-05,0.10401590505142143,5023915.927055876,5025666.099963774,31543101263.49986,31554089879.16621,32.39269725702582,32.39777483520767,32.39645834962923,25.114554135819898,1.0003483682715455,1.0215308833741459e-06,9.038928868385186e-11,101.82355398581187,0.0004993281420174326,9.851885222189253e-06,8.381030174899219e-05,4.9714720632479165e-09,6.255479289391749e-09,-1.4745118646793907e-12,1.4177107209077207e-06,0.008867891558280962,0.013791205349483956,8.670618483181012e-06,8.67061849190135e-06,-0.00010027940328067171
110,0.08178229764053989,1913.1563541039718,0.15927048851657524,0.02500364644252381,0.004866770068478216,5.154034685480848e-11,5.155417719761629e-11,7.335981718125913e-05,9.275492528425427e-06,0.09440586591963725,4943488.7975111855,4944815.333883336,31038322564.04938,31046651391.21947,31.111229356381518,31.11498585513852,31.1140119045024,24.120144073750787,1.00026834011899,8.904744606327564e-07,7.879239019806275e-11,106.01748853364532,0.0004993364997648857,8.588077557822692e-06,8.381170456464973e-05,4.3337344517517814e-09,6.249514299253485e-09,-1.4064204357042814e-12,1.386576820027685e-06,0.008138835030352317,0.01202215753332977,2.5408749617087616e-05,2.5408749623104125e-05,-1.0071179871100183e-05
111,0.09198443925731152,1913.1591682151154,0.15927017878871108,0.025003634598683613,0.004866711056387428,5.1233755115030033e-11,5.1245801001310917e-11,6.63164428516793e-05,8.38615334548528e-06,0.0880857744783306,4914072.515786006,4915227.893887186,30853688701.543106,30860942903.86753,30.14208971534736,30.14527861141553,30.144451828189492,23.368433032105063,1.0002351162091054,8.049800376637692e-07,7.12273969555844e-11,109.42603587285849,0.0004993304023630126,7.763430589099636e-06,8.381068113927503e-05,3.917605249469434e-09,6.247741527926519e-09,-1.3732205767721884e-12,1.3717826252274679e-06,0.007660830946326802,0.010867801748325785,1.3197431591370565e-05,1.3197431597993619e-05,3.001248405132372e-06
112,0.09560390717316583,1913.1595239118972,0.15927013942923005,0.025003633069894705,0.004866650061598191,5.118776301822003e-11,5.1199508020957915e-11,6.462455374969524e-05,8.172546911654867e-06,0.08655506773867798,4909659.982290649,4910786.500945382,30825991613.2754,30833064619.293793,29.892550309938816,29.89563658801189,29.894836411249205,23.174912083730145,1.0002294494239512,7.844434423745376e-07,6.941023135629878e-11,110.33946243042426,0.0004993241339699341,7.565272319704519e-06,8.38096290136863e-05,3.817611727152341e-09,6.247542667229903e-09,-1.3664215577821863e-12,1.368817301261404e-06,0.00754509058223745,0.010590413231348171,6.436680402290068e-07,6.436680467871125e-07,-5.907321249144094e-06
113,0.10286151977365132,1913.1598444672156,0.1592701037123678,0.025003631652241985,0.004866647352031576,5.113829208162323e-11,5.114967681739852e-11,6.20866320709896e-05,7.852142101758714e-06,0.08424650618254989,4904913.891291079,4906005.854795918,30796199518.70602,30803055566.886982,29.505577208102984,29.508532951845705,29.50776661948209,22.874831745616824,1.0002226264372913,7.536374970432289e-07,6.668440128644687e-11,111.78651077351779,0.000499323840583018,7.268166513569074e-06,8.380957976982477e-05,3.6676879293771345e-09,6.2473953132766904e-09,-1.3569986177588599e-12,1.3647579184233226e-06,0.007370480777470228,0.010174512991025265,5.609959522288599e-08,5.609960386388851e-08,-2.6420415219765286e-06
114,0.1063111739160199,1913.1599004070388,0.15927009736519107,0.025003631386914617,0.0048666467367765994,5.1126240280001015e-11,5.113752307374901e-11,6.118722828538546e-05,7.738599834156228e-06,0.08342430867268207,4903757.750943479,4904839.936666329,30788941754.079754,30795736411.336533,29.364734357353615,29.36765034062549,29.366894317159108,22.765620419089526,1.0002206849884951,7.427203075685943e-07,6.571840872308593e-11,112.3226439651071,0.0004993237720059131,7.16287697729936e-06,8.380956825942268e-05,3.6145573611664117e-09,6.247383957451255e-09,-1.3538688911738687e-12,1.3634239976264688e-06,0.007308265558688842,0.010027124193454456,-8.124034973000136e-08,8.124033704964359e-08,-1.8511584891862592e-06
115,0.11604435936035788,1913.1599296598702,0.1592700937136389,0.025003631195951365,0.004866647701277541,5.1110359747817466e-11,5.112147750034695e-11,5.938615208129741e-05,7.511235651234583e-06,0.08177052567187973,4902234.462147669,4903300.817967909,30779378274.000927,30786073541.112137,29.07677987830876,29.079625917724528,29.078888028905972,22.54234567265467,1.0002175244428788,7.208583981849077e-07,6.378399146287438e-11,113.43493517974488,0.0004993238600486975,6.952035542989391e-06,8.380958303706391e-05,3.508163866473192e-09,6.2474198849854455e-09,-1.3479019105620423e-12,1.3609015657212928e-06,0.007183058168883445,0.009731978783816785,9.508367531727952e-08,9.508368340030106e-08,-4.4356409010196937e-07
116,0.1317484948107148,1913.1598789942564,0.15927009888323143,0.025003631345338496,0.004866648430619532,5.1104995426303114e-11,5.1116013109224546e-11,5.7880691756427485e-05,7.321196516400307e-06,0.08037981446639465,4901720.103996838,4902776.86170565,30776147804.055336,30782782807.839603,28.829998895518443,28.83279567554542,28.83207055837629,22.351004399647607,1.0002155891577629,7.02584754774982e-07,6.216707964825682e-11,114.40586195488689,0.0004993239257555948,6.775799955800553e-06,8.380959406571296e-05,3.4192329942028748e-09,6.247503175734366e-09,-1.3431857834520285e-12,1.3589257896590176e-06,0.007077675768165264,0.009485275762133186,2.266754312593126e-07,2.266754381706889e-07,1.4765971793118587e-07
117,0.14908038106462332,1913.159836409229,0.15927010336755784,0.02500363149310652,0.004866634871435961,5.1104671525900455e-11,5.1115653249853566e-11,5.718057628680504e-05,7.232820675290494e-06,0.07973013944608043,4901689.175197579,4902742.483942527,30775952746.67234,30782566095.459576,28.713353425788213,28.716129817183738,28.715409986230245,22.260565749754836,1.0002148868904783,6.940865850215082e-07,6.141513452356157e-11,114.87059563845304,0.000499322530323885,6.69382232734902e-06,8.380935984788543e-05,3.377865978461572e-09,6.247555404135846e-09,-1.3410600313406964e-12,1.3580389783799613e-06,0.0070284080194657345,0.009370519448192323,-2.5679673929218e-06,2.5679673856652486e-06,-2.577467286449791e-06
