,t[s],T[K],density[kg/m3],mean_MW[kg/mol],mdot[kg/s,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_v[nm],d_g[nm],n_p,soot_mass[kg/kg],volume_fraction,SSA,total_carbon_mass_flow[kg/s],carbon_yield,total_hydrogen_mass_flow[kg/s],soot_mass_flow[kg/s],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],soot_h[J/m3],C_mass_error,H_mass_error,enthalpy_error
86,0.010142436363903405,1883.2529362870134,0.16251332760436357,0.02511395823907441,0.004962548018378581,6.457170554290919e-11,6.457447932911172e-11,2.1992124161831317e-06,2.9161505306637765e-07,0.009820583442457915,6319491.672320824,6319763.136713165,38885990247.55396,38887660660.660034,8.965774279280515,8.965947590193602,8.965902657412968,6.950346969142328,1.0000429566817108,2.6708688304266504e-08,2.41139878459672e-12,367.6924651102822,0.0005091629935567496,2.6252386524385077e-07,8.54610436275419e-05,1.3254314821782894e-10,9.239348376766494e-09,-1.2906898535923191e-12,1.4967068542479283e-08,0.0011232526412400141,0.000359452101247285,0.01970501053200487,0.01970501053201113,-0.2054004981446496
87,0.010889271240423217,1885.9193019069578,0.1622377896202627,0.02510687502771175,0.0049552391421493645,6.500466299927024e-11,6.500815050021576e-11,2.8772493596228963e-06,3.773697427474149e-07,0.011773704675876281,6351077.8629318215,6351418.598334946,39146723323.81557,39148823545.98897,9.784131392740798,9.784367602700543,9.784306362533778,7.584781087364761,1.0000536500119315,3.493903075912001e-08,3.1491284010188884e-12,336.97857153072385,0.0005084130988411182,3.4295647737221066e-07,8.533517669333883e-05,1.731312528063521e-10,7.538824825135105e-09,-1.362420740345681e-12,1.595445968404255e-08,0.0013181049646849483,0.00047048341014252997,0.018203190076517262,0.018203190076523365,-0.1873200371592396
88,0.012124718249329624,1889.7931420207415,0.16182840628203732,0.02509496332383026,0.004943882808878695,6.336308301521836e-11,6.336767233698347e-11,4.1589456640482865e-06,5.389322662335892e-07,0.014923944169487582,6175071.103282881,6175518.357217929,38158140743.97335,38160904498.15794,11.157259726065737,11.157623367711276,11.157529089109588,8.64932044008626,1.0000724289530547,5.049634009524743e-08,4.539856800383129e-12,295.54506606494,0.0005072479341900994,4.945933844544657e-07,8.513960830299214e-05,2.4964798770818574e-10,5.408735045309408e-09,-1.375485674009587e-12,1.669364041632291e-08,0.0016193877706402013,0.0006804245917296233,0.015869705027969087,0.015869705027975082,-0.16089757989336673
89,0.014228508982840655,1895.128363507704,0.16125171857996412,0.025076131015907197,0.004927046632077688,5.6891595629331786e-11,5.6897577189993314e-11,6.63160822182508e-06,8.49857858704859e-07,0.019650911448502412,5524632.217496603,5525213.07522042,34260919921.650063,34264522101.70081,13.511204736580654,13.511843971408968,13.51167824095694,10.474297652255014,1.0001051396185212,8.050890307391552e-08,7.212332767587019e-12,244.08370625123084,0.0005055205386947587,7.859635816423241e-07,8.484967163505385e-05,3.966711197426045e-10,3.2348375861237702e-09,-1.2098513629104713e-12,1.631531198724529e-08,0.0020403588394210604,0.0010855358779672277,0.012410235537728203,0.012410235537734148,-0.12430277672756435
90,0.016415020877712797,1899.3667846481926,0.16078717566211595,0.025059811408998114,0.004913042046540793,4.8611508771369404e-11,4.8618168622180375e-11,9.288908457394656e-06,1.183639962923738e-06,0.023344335721876747,4706969.806643023,4707614.668682411,29274535032.162155,29278545688.09122,15.930928000549969,15.931910116189979,15.931655487803067,12.350317919527116,1.0001370015245215,1.1276218856439435e-07,1.0072618789304398e-11,207.0227264926279,0.0005040836686897027,1.097771756097981e-06,8.460849854953282e-05,5.540053736768308e-10,2.082519881412594e-09,-9.506680182114443e-13,1.5004761833672168e-08,0.0023353443007425993,0.0015209768514056665,0.009532603890927348,0.009532603890933139,-0.09512353973039163
91,0.01899773590833815,1903.1010308119546,0.1603758766710826,0.025044850639510337,0.0049005184588932,3.9267933577488234e-11,3.92745674734113e-11,1.2151438020455108e-05,1.5430251787399828e-06,0.02600525524993867,3792521.018550681,3793161.7242723983,23647702492.868187,23651697518.39831,18.707875345571203,18.70929750214122,18.708928784501616,14.503331397008697,1.0001689392672006,1.4750629144385622e-07,1.3142472669338139e-11,176.2992954089472,0.0005027987519071053,1.4324075272569884e-06,8.439283022601977e-05,7.228573040234975e-10,1.3936781099522605e-09,-6.653083093842355e-13,1.3246057773313016e-08,0.0025090558659417632,0.0019901555173539635,0.006959290241051559,0.006959290241058366,-0.06936684148137219
92,0.020212011328141967,1904.4875007556564,0.16022305567343045,0.02503921428864227,0.00489583036586191,3.533840553332267e-11,3.5344815165757694e-11,1.330864585566105e-05,1.688251125568577e-06,0.026676981270836262,3409752.571747905,3410371.028080313,21281285376.91682,21285145347.81682,19.97354245213313,19.975172619237135,19.974749970546164,15.484629937393128,1.0001813786541383,1.61551902506918e-07,1.438018859417474e-11,165.12947762836714,0.0005023177553003559,1.5673179928502746e-06,8.431209680172485e-05,7.909307099561319e-10,1.1982116539628412e-09,-5.540879070855318e-13,1.2454265595601739e-08,0.0025359673043774985,0.002179853110791916,0.005995994290328366,0.005995994290335848,-0.0598024487591311
93,0.020761249361007095,1905.0500807430165,0.16016105728055938,0.0250369190468325,0.004893929540561655,3.367350368494041e-11,3.367978163095529e-11,1.3784513145918644e-05,1.7479552799653144e-06,0.026873418170205044,3247851.3122381186,3248456.8279395243,20278658042.003,20282438709.48664,20.536500213333692,20.538223057328533,20.537776380192806,15.921103145215918,1.0001864357826742,1.6732772631783388e-07,1.4888547533009086e-11,160.6034980667807,0.0005021227313661222,1.6227291337649877e-06,8.427936278695377e-05,8.188901027818632e-10,1.126694607339321e-09,-5.090574450673851e-13,1.2109265960680017e-08,0.0025385351860048836,0.0022578685418032777,0.00560541821659895,0.005605418216605947,-0.05592084279905718
94,0.022730854111880024,1906.783551769223,0.15997011584777576,0.025029825379024827,0.004888075344355454,2.828332892538049e-11,2.828903175786305e-11,1.5230831823093038e-05,1.9293217806503605e-06,0.02709946036161702,2724710.019925436,2725259.4094562153,17032618908.1354,17036053234.15228,22.501988180580867,22.504029774751857,22.503500454773633,17.44498432151307,1.0002016322936245,1.8488227738206604e-07,1.6430910739449844e-11,146.57684200641356,0.0005015220929877955,1.790846668188882e-06,8.41785479529928e-05,9.037185016795631e-10,9.314485244209538e-10,-3.730944062284112e-13,1.0945678441086606e-08,0.0025068517177427984,0.002495016746086895,0.004402514683451154,0.00440251468345951,-0.04396000727466594
95,0.02340757147889869,1907.2891667178146,0.1599144591556923,0.025027751821398714,0.004886369174641002,2.6635020816207595e-11,2.6640502303825333e-11,1.563195107196151e-05,1.9795803705449473e-06,0.027026831100330002,2565025.455236474,2565553.337507304,16039984556.613306,16043285585.636053,23.156662802769908,23.158807220085382,23.15825124097302,17.952563736500295,1.000205800012531,1.8975078133883906e-07,1.685771865120582e-11,142.43330599028224,0.000501347040474272,1.8373688606770528e-06,8.414916606411874e-05,9.271923687981482e-10,8.810076214829562e-10,-3.348015693457419e-13,1.0572688244710146e-08,0.0024836387989503445,0.0025607988961879984,0.004051935541987562,0.004051935541992995,-0.040471357950025856
96,0.02556054746794045,1908.646039299053,0.15976520465069996,0.025022181022112275,0.004881746710456353,2.2030563600500848e-11,2.2035312751939127e-11,1.658831933802717e-05,2.0992373745292397e-06,0.026394505566424534,2119623.437449848,2120080.3668720415,13267115590.557106,13269975596.42129,25.1620933086026,25.164534062262298,25.163901251543596,19.507390745939766,1.000215571036874,2.0135833484256981e-07,1.7872253096804075e-11,131.08225982828495,0.0005008727762001343,1.9479352587321806e-06,8.406956263587304e-05,9.82980388740684e-10,7.584952024800686e-10,-2.368916837129005e-13,9.473627261484796e-09,0.002379111237572641,0.0027176523284692736,0.0031021224904216934,0.003102122490429679,-0.031119363353293458
97,0.02660376936946957,1909.185758820189,0.15970588454551357,0.025019963490149524,0.004879975798397934,2.0120613119688022e-11,2.0125008619956353e-11,1.6885208739096454e-05,2.1362633189384192e-06,0.02591324776244995,1935142.8706164833,1935565.6172274565,12116916518.908852,12119563551.059084,26.0881028916758,26.09066735223672,26.09000246788646,20.225323528865676,1.000218457570959,2.0496159559077744e-07,1.818531828982497e-11,126.42977182021879,0.0005006910804087591,1.982079140960655e-06,8.403906569844785e-05,1.0002076260840186e-09,7.145547085967536e-10,-2.004616522643091e-13,8.986552540386529e-09,0.002315999498969428,0.002766403148874476,0.002738238800517991,0.0027382388005243274,-0.02738675945839072
