,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
0,0,0.0,429300.0,1800.0,1.111675456309045,0.03875465,1.1116754563090447,0.9999999999999998,0.9999999999999998,1.4901327247760852e-19,1.660539131934866e-24,4.800286584411558e-12,3.321078263869749e-23,1.2567588138810746e-17,0.0997594106953998,1.1116755070483072e-06,89.73789079289232,0.0010000000456421,1.9999399719905624,88.00959055791596,68.22448880458599,88.00959055791596,1.0,6.409502931828666e-14,3.560834962127038e-17,2.179744580432004e-07,0.0172267507328509,3.720668529557468e-12,0.0057828872662223,0.0172267507328509,0.0057828872662223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.2222e-16,429300.0,1799.99999999998,1.111675456309056,0.0387546499999999,1.1116754563090447,0.9999999999999898,0.9999999999999898,1.660539131934866e-24,1.660539131934866e-24,6.415647815256822e-22,3.321078263869749e-23,1.2567588138810746e-17,1.1116755070483184e-06,1.1116755070483184e-06,0.0010000000456421,0.0010000000456421,1.9999399719905624,1.9999399719905624,1.5503410635585768,1.9999399719905624,1.0,8.603602153926107e-24,4.7797789744034405e-27,1623.8639384947749,0.0172267507327868,4.972723712052352e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,0.0,0.0,1.1376211020264836e-71,1.4051697900527916e-87,0.0,0.0,1.4051697900527916e-87
2,2,2.222222222e-11,429300.0,1799.9999979989109,1.1116754574257477,0.0387546499958457,1.1116754563090447,0.9999999989954778,0.9999999989954778,1.6605391319350138e-24,1.6605391319351618e-24,6.415647910327519e-22,3.321078263869749e-23,1.2567588143420333e-17,1.1116755081651087e-06,1.1116755081652078e-06,0.0010000000456422,0.0010000000456423,1.9999399720067172,1.999939972001373,1.5503410635669568,1.9999399720002011,1.0000000000000893,8.603602280867671e-24,4.779779049727879e-27,1623.8639151311347,0.0172267507327868,4.972723785740982e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,0.0,0.0,2.81922941633546e-50,2.3215203534744145e-61,0.0,0.0,2.3215203534744145e-61
3,3,3.8061863373172296e-08,429300.0,1799.9965708595723,1.1116773700421785,0.0387546428848076,1.1116754563090447,0.999998278517504,0.999998278517504,1.6605391860855764e-24,1.660539131952158e-24,6.433086451003671e-22,3.321078263904332e-23,1.2567588138941597e-17,1.1116774570336833e-06,1.1116774207931046e-06,0.0010000000782524,0.0010000000456525,1.9999399719905624,1.9999427759281696,1.550343237153621,1.9999427759281696,1.0,8.626886802661721e-24,4.7927231409566176e-27,1619.4810015069895,0.0172267507327868,4.986240276549235e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,0.0,0.0,6.261057216204744e-35,8.82810738119654e-43,0.0,0.0,8.82810738119654e-43
4,4,2.477237035106835e-07,429299.9999999999,1799.9776500346873,1.1116879315858508,0.0387546036983698,1.1116754563090447,0.9999887780766062,0.9999887780766062,1.6605396285643514e-24,1.6605391320934542e-24,6.575581834126064e-22,3.321078264186928e-23,1.2567588140010813e-17,1.1116883148062727e-06,1.1116879824318533e-06,0.0010000003447194,0.0010000000457376,1.9999399719905624,1.9999656875853613,1.550360998128188,1.9999656875853613,1.0,8.81715139621237e-24,4.898472412622367e-27,1584.534352699477,0.0172267507327868,5.0966874505393075e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,0.0,0.0,8.572039486838203e-31,7.15653723863724e-38,0.0,0.0,7.15653723863724e-38
5,5,6.79526652316509e-07,429299.9999999999,1799.938660981355,1.1117096983317551,0.0387545230356373,1.1116754563090447,0.9999691987730592,0.9999691987730592,1.6605690204506586e-24,1.6605989662861674e-24,2.5684637242655667e-21,3.321078263870136e-23,1.3444198210638825e-17,1.111729759052323e-06,1.1117498074068842e-06,0.0010000180449271,0.0010000360787309,2.003038708266057,2.0020602532692315,1.5520222085799775,2.001893507239075,1.000018033478368,3.4332200239983174e-23,1.907403208135924e-26,435.32267306059737,0.0172267507327868,1.9907982534247628e-21,0.0057828872662223,0.0172267507327868,0.0057828872662223,0.0,0.0,1.6935773999479795e-28,3.1945749531373913e-35,0.0,0.0,3.1945749531373913e-35
6,6,1.5289249838210834e-06,429300.0,1799.8620521097655,1.1117524702097457,0.0387543645447925,1.1116754563090447,0.9999307274750768,0.9999307274750768,1.6605464185232844e-24,1.6605537190858054e-24,1.1113278041367468e-21,3.321078263895716e-23,1.2781311591076045e-17,1.1117573994181296e-06,1.1117622872395792e-06,0.0010000044337282,0.0010000088302298,2.000695513836433,2.000456902250213,1.5507509340517716,2.000416235222301,1.0000043964820493,1.4876034888393356e-23,8.265036366822909e-27,955.1382812582334,0.0172267507327868,8.613824016885584e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,0.0,0.0,7.542885889098784e-27,2.850821999987215e-33,0.0,0.0,2.850821999987215e-33
7,7,4.798777334500784e-06,429300.0,1799.568710610975,1.111916260844267,0.0387537569743957,1.1116754563090447,0.9997834328503844,0.9997834328503844,1.6639247518477146e-24,1.6673168646480193e-24,2.1891093204310553e-19,3.321078278083554e-23,1.118602781361685e-16,1.1141833620563595e-06,1.1164547602311397e-06,0.0010020389136231,0.0010040816917124,2.349477418321638,2.2396255564379626,1.7403812982367577,2.2207802848216245,1.00203862151611,2.9230090752226617e-21,1.6242456889383852e-24,42.54257258178687,0.0172267507328512,1.6967633104945553e-19,0.0057828872662389,0.0172267507328512,0.0057828872662389,0.0,0.0,2.712101422336731e-24,3.658822666659965e-30,0.0,0.0,3.658822666659965e-30
8,8,1.7748029235717813e-05,429300.0,1798.4445501379496,1.1125432230145322,0.0387513860915033,1.1116754563090447,0.9992200152879128,0.9992200152879128,1.6679738180166575e-24,1.660541506050478e-24,2.400673864742292e-19,3.3210888463929205e-23,1.2567611564413416e-17,1.1175244331253254e-06,1.1125448644252055e-06,0.0010044773182809,0.001000001475368,1.9999403751556104,2.383194398076581,1.8474375178888225,2.383194398069502,1.00000000000046,3.2054971191667667e-21,1.7822218386581274e-24,4.358483193463528,0.0172267507327171,1.8607455078377744e-19,0.0057828872662044,0.0172267507327171,0.0057828872662044,0.0,0.0,1.1308056097249612e-22,6.444132518846677e-28,0.0,0.0,6.444132518846677e-28
9,9,3.870895876168099e-05,429299.9999999999,1796.7324146998749,1.1134888736066908,0.0387474013546619,1.1116754563090447,0.9983714095931896,0.9983714095931896,1.6607312963435855e-24,1.6605391937519188e-24,6.830036215869761e-21,3.321379065278744e-23,1.2567775815926162e-17,1.113617781940516e-06,1.1134889658806825e-06,0.0010001157697547,0.0010000000828692,1.9999532037636505,2.009902352395486,1.5580638390662684,2.0099023501883906,1.0000000001516596,9.123414248203428e-23,5.076831550384075e-26,153.13661678478212,0.017226750732785,5.293913260647445e-21,0.0057828872662218,0.017226750732785,0.0057828872662218,5.413566637065265e-39,7.354473944505084e-39,1.5938879440479705e-21,1.7406154322108634e-26,5.007704456534494e-44,6.803099401272028e-44,1.7406154322108634e-26
