,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
10,10,2.91606098377558e-06,530662.5,2198.5672908878764,1.1232509204531849,0.0386929936425843,1.1116754563090443,0.989694676466884,0.989694676466884,1.6628508006362593e-24,1.6651597917003402e-24,1.8319912296575017e-21,3.321557084368995e-23,1.521011688761586e-17,1.1248146711634447e-06,1.126376559351772e-06,0.0010013921650824,0.0010027826720118,2.042666162598973,2.030122798751233,1.5743097323094393,2.0275826414244857,1.0013893792201332,2.4498578945105296e-23,1.3752040866539935e-26,690.1916094579252,0.0172267507327908,1.4199635781636397e-21,0.005782887266222,0.0172267507327908,0.005782887266222,5.9333712514562594e-31,8.116602820415031e-35,7.065799729591752e-20,4.9754199130663174e-26,3.3184920147776433e-37,4.5395578026707227e-41,4.975419913033128e-26
11,11,4.646335404666227e-06,530662.4999999998,2182.143655581941,1.1302165401618345,0.0386421055884925,1.1116754563090443,0.9835951048370474,0.9835951048370474,1.6962657311886032e-24,1.7319896137177118e-24,1.842502533253855e-20,3.330648581936187e-23,5.342590410608661e-17,1.154533269666428e-06,1.1788480984949337e-06,0.0010215151067432,0.0010430285317945,2.634880845667237,2.456234544941124,1.909959656047628,2.417727731795316,1.0210615615276324,2.460544126723943e-22,1.3897679569252696e-25,241.37858647117247,0.0172267507327864,1.4281108160020162e-20,0.0057828872662284,0.0172267507327864,0.0057828872662284,2.9392829585580483e-22,4.087530363503793e-30,9.038782072649424e-19,8.519873426952683e-25,2.2968146157515793e-28,3.194235049814776e-36,8.517576612304988e-25
12,12,6.64381410023799e-06,530662.4999999998,2161.388605060341,1.1387921731913198,0.0385649806249378,1.1116754563090443,0.976188177684534,0.976188177684534,1.7935259771659324e-24,1.797392220761279e-24,2.6558722086419747e-21,4.14948553815755e-22,1.798411312916706e-17,1.2299941622296932e-06,1.2326456192548926e-06,0.001080086596295,0.0010824149026249,2.067233027416759,2.0477779248175323,1.5880309918753197,2.0438356416260284,1.0021566051832378,3.5927070968621937e-23,2.0446348693547447e-26,556.4744531120101,0.0172267507327861,2.0585479578052748e-21,0.0057828872662252,0.0172267507327861,0.0057828872662252,2.627649748840008e-16,1.934524634210764e-27,9.319540951874357e-19,2.0909435719728606e-22,2.0576351288705033e-22,1.5262142946312119e-33,3.3308443087094634e-24
13,13,8.987916206717304e-06,530662.5,2135.7087878572474,1.1492634273838855,0.038457177570336,1.1116754563090443,0.9672938595458448,0.9672938595458448,4.03019704571902e-21,4.0302009061350445e-21,1.5262519089653969e-18,1.2183694278876222e-18,3.051229469904985e-14,0.0027893099247844,0.0027893125965884,2.4270414061063974,2.427043730903282,2.0002943283435397,2.000285622377383,1.5506092787772177,2.000283868442061,1.000000964660022,2.1744291953578224e-20,1.2488616646552597e-23,1559.9390039932052,0.0172267507327866,1.1829871708713157e-18,0.0057828872662251,0.0172267507327866,0.0057828872662251,5.255735655604912e-12,5.371514744697544e-22,3.284219103955672e-15,5.619667074203239e-18,5.616153290541194e-18,5.739225287993351e-28,3.513783088122368e-21
14,14,1.175350613378697e-05,530662.4999999999,2106.732333897552,1.1610882747272495,0.0383257256590029,1.1116754563090443,0.9574426686637478,0.9574426686637478,8.412807448219171e-18,8.412807452080138e-18,3.184327530466951e-15,2.5445650889975774e-15,6.371435379129074e-11,5.88243441159784,5.88243441429752,5066.311097646455,5066.311099971584,2.000716277651573,2.0007162869594284,1.5509428582366755,2.000716281260604,1.0000000163642142,4.536956485286757e-17,2.6325663804315696e-20,1561.1717580732377,0.0172267507327895,2.4681499785630375e-15,0.0057828872662262,0.0172267507327895,0.0057828872662262,6.901945629458033e-09,4.080344066272145e-17,1.038905085075227e-11,7.561437354613705e-15,7.550090287260167e-15,4.451876740009879e-23,1.1347022834769992e-17
15,15,1.5175890450706047e-05,530662.5,2076.615952667967,1.173495697119603,0.0381815428793796,1.1116754563090294,0.9473195845861946,0.9473195845861946,2.8341088340448977e-15,2.8341088340488054e-15,1.0742665435897696e-12,8.573994962600152e-13,2.1483099123483163e-08,2002.8523325689,2002.852332571661,1706740.2441142208,1706740.244116574,2.001541213741936,2.0015412217919355,1.5515823424747508,2.001541218871922,1.0000000095317227,1.5304740769816576e-14,8.975464984948355e-18,1560.4468171149867,0.0172267507327873,8.326564780675274e-13,0.0057828872662255,0.0172267507327873,0.0057828872662255,1.4143773991984283e-06,1.9831627559003815e-13,4.432381172150217e-09,2.227544210273243e-12,2.2206274021404115e-12,3.0785976140718447e-19,6.916500273070657e-15
16,16,1.932201566754787e-05,530662.4999999998,2049.311195803745,1.1849020716624243,0.0380457507047713,1.1116754563079436,0.9382002807609716,0.9382002807609724,2.0352557031636086e-13,2.035255703167589e-13,7.73128593450573e-11,6.159128069699057e-11,1.5448302849949033e-06,145228.66475907675,145228.66475936084,122565964.08454254,122565964.08478227,2.00279018699267,2.0027901870271942,1.552550532579225,2.0027901870138125,1.000000000042901,1.1013243843747653e-12,6.521495385952512e-16,1559.3497577600624,0.0172267507327866,5.992465608811549e-11,0.0057828872662255,0.0172267507327866,0.0057828872662255,6.171113912086543e-05,9.535418561213354e-11,3.478874933491196e-07,1.102626106233656e-10,1.0966434364490562e-10,1.5817764405771844e-16,5.981088008159063e-13
17,17,2.450554289607543e-05,530662.4999999999,2025.4270574881712,1.195046512672689,0.0379242676233389,1.111675456280619,0.9302361410137812,0.9302361410137968,5.238084803676039e-12,5.238084804106477e-12,1.9958228144579776e-09,1.5857353158196883e-09,3.983371058010712e-05,3769712.5849311776,3769712.585240952,3154448421.0077467,3154448421.266962,2.0045448164473765,2.004544816495505,1.553910710461632,2.0045448164707738,1.0000000000821747,2.8425818249631378e-11,1.697646495715033e-14,1557.8147301024464,0.017226750732787,1.5469482927209223e-09,0.0057828872662255,0.017226750732787,0.0057828872662255,0.0009694469449585,9.946559350047276e-09,8.952094778483467e-06,2.6595527920771475e-09,2.636497720794119e-09,2.3897860312304515e-14,2.303117342271569e-11
18,18,3.119672247503193e-05,530662.4999999999,2004.5188756950852,1.2040932376215745,0.0378169112097068,1.1116754559387048,0.923246988858254,0.9232469888584598,6.7972697684503e-11,6.797269780338411e-11,2.6008477648812663e-08,2.0583991308528328e-08,0.0005182597538026,49288491.783414006,49288491.869617306,40934115601.19111,40934115672.78299,2.0069849493636016,2.0069849503915926,1.5558022871252652,2.00698494986508,1.000000001748954,3.7033965749724886e-10,2.2284855152311386e-13,1555.697955754483,0.0172267507327869,2.0158988966176153e-08,0.0057828872662256,0.0172267507327869,0.0057828872662256,0.0077233180668694,3.7722751077661033e-07,0.0001111682036809,3.008046966006413e-08,2.969845340541485e-08,1.1062326324074732e-12,3.809100220168652e-10
19,19,3.956940123312747e-05,530662.5,1986.832749782546,1.211891595548367,0.0377260095255906,1.1116754535688989,0.9173060178421972,0.9173060178437196,5.002785662681498e-10,5.002785765307449e-10,1.925042561434095e-07,1.5149840904653808e-07,0.0038277282329102,365112393.8639096,365112401.353738,301274796528.89294,301274802709.1721,2.010248268404124,2.0102482804529624,1.5583320003511334,2.0102482742614125,1.000000020513761,2.7401454990574133e-09,1.6595367580961146e-12,1552.907143406336,0.017226750732787,1.492087014064086e-07,0.0057828872662251,0.017226750732787,0.0057828872662251,0.035916811884855,6.283234515767218e-06,0.0007730007782633,2.198335287604712e-07,2.157707873347854e-07,2.7406995368386817e-11,4.0353344303174145e-09
