,t[s],P[kPa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],H_gas[J],W_work[J],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,soot_mass[ug/g],volume_fraction,SSA[m2/g],total_carbon_mass_per_kggas[kg/kg],carbon_yield,total_hydrogen_mass_kggas[kg/kg],total_carbon_mass[kg],total_hydrogen_mass[kg],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],H_soot[J]
10,1.4993548258189652e-06,470147.9999999999,2298.3928442638994,0.9203308789474698,0.03740828917422327,0.901834792171646,1122498.4537031446,0.0,1.6605391651465646e-24,1.660539165147615e-24,4.6785642364110966e-20,3.3212841257002836e-23,1.3013428489439352e-17,9.203309393604795e-07,9.203309393610617e-07,0.0010000000656427064,0.001000000065643339,1.9999965848286563,1.9999965847466892,1.5503849494160373,1.9999965847290364,1.0000000000006324,5.61975828979324e-16,2.87335393684319e-25,23.156562646252418,0.031978764247469996,1.757235977243232e-20,0.01073502434816364,0.028839562209023166,0.009681218451983714,4.7199320663510145e-30,-1.397801928687533e-39,1.1938162753462516e-33,6.000655191039819e-20,1.8182348563282358e-15
11,2.0754552142169766e-06,470147.99999999994,2277.6065739969627,0.9269232037446428,0.037335507047763485,0.901834792171646,1122498.4537034312,0.0,1.660539169108335e-24,1.6605391691093867e-24,4.678571510878177e-20,3.3222065242766674e-23,1.3014291176399882e-17,9.269232668018753e-07,9.269232668024625e-07,0.0010000000680285403,0.001000000068029174,2.0000605991044593,2.000060599022442,1.5504345728856144,2.0000605990047773,1.0000000000006333,5.619767120133427e-16,2.8939403018293784e-25,23.15806135413471,0.03197876424747,1.7572387094821462e-20,0.010735024348163216,0.028839562209023173,0.009681218451983333,7.635902954109329e-26,-1.4013711972834616e-39,1.4941334589813208e-31,2.1685951328150675e-19,1.795720760453819e-15
12,2.782807330616359e-06,470147.99999999994,2251.690505657993,0.9349779908294035,0.03723142651937385,0.901834792171646,1122498.4537033753,0.0,1.6609698258007932e-24,1.6609698258018467e-24,4.6786147858896873e-20,3.338637970463086e-23,1.302079634005306e-17,9.352205386613622e-07,9.352205386619554e-07,0.001000259415552385,0.0010002594155530194,2.0003013843680697,2.0003013842859185,1.550621228128618,2.000301384268225,1.0000000000006344,5.619820754039527e-16,2.919115954129589e-25,23.169415733933707,0.03197876424746998,1.757254963273544e-20,0.010735024348163206,0.028839562209023152,0.009681218451983324,5.8417977069442404e-21,-1.406210015026221e-39,4.1380979323732577e-29,5.861515713702e-19,1.7677036203682082e-15
13,3.568550134547201e-06,470148.0,2222.963079500276,0.9437935945720712,0.03710298641197128,0.901834792171646,1122498.4537032829,0.0,4.8033935884897554e-24,4.803393588490813e-24,4.7974870681174014e-20,9.837667675701027e-22,3.6810861613696327e-17,2.7300845976797497e-06,2.730084597680351e-06,0.0028926712507702564,0.002892671250770894,2.000340385688394,2.000340385660673,1.5506514617524598,2.0003403856542477,1.0000000000011524,5.772178086532918e-16,3.0265248359994684e-25,63.77291390156488,0.031978764247469954,1.8019025603722185e-20,0.010735024348163211,0.028839562209023128,0.00968121845198333,2.962087839978644e-17,-1.1784449594983485e-38,8.527991064938913e-27,3.3634067231037296e-18,1.7837636031889952e-15
14,4.40366451791528e-06,470147.99999999994,2193.7046965704058,0.952751427937065,0.03696216194292248,0.901834792171646,1122498.4537032146,0.0,2.4492671569101077e-21,2.4492671569101092e-21,9.723479521868269e-19,7.402352848374916e-19,1.8539024413982138e-14,0.001405292319088155,0.001405292319088156,1.4749831675728362,1.474983167572837,2.0001664042445566,2.000166404244502,1.5505165924375974,2.0001664042444895,1.0000000000000018,1.2425028420832161e-14,6.5766464278369206e-24,1492.0709865660406,0.03197876424746993,3.652070844050579e-19,0.010735024348163199,0.02883956220902311,0.009681218451983317,1.64618854173882e-14,-3.0708303158744996e-33,1.0263007072835813e-22,2.7606724626862993e-15,3.7699517811749494e-14
15,5.4748911125291735e-06,470148.0,2159.8700020276005,0.9631729320427044,0.03679014283255826,0.901834792171646,1122498.453703311,0.0,9.55977247972623e-19,9.559772479726231e-19,3.617081509071532e-16,2.891247729028619e-16,7.237800588880156e-12,0.5545015068985523,0.5545015068985524,575.702958888765,575.7029588887651,2.0004214747200884,2.0004214747207048,1.550714321488918,2.000421474720481,1.0000000000007292,4.635914371631901e-12,2.480659576679783e-21,1561.2455297211104,0.03197876424746991,1.3585504952342904e-16,0.010735024348163195,0.02883956220902309,0.009681218451983315,4.395772203876103e-12,-4.692700808595647e-28,6.563357883211877e-19,1.569140257125497e-12,1.3765871727646843e-11
16,6.665266062603557e-06,470148.0,2128.2888076848276,0.9730118920878673,0.03662252646129983,0.901834792171646,1122498.4537035655,0.0,9.131626771838652e-17,9.131626771838716e-17,3.4569640443130825e-14,2.762050356070176e-14,6.916520447727912e-10,53.50781368393724,53.50781368393763,54991.942153061835,54991.94215306223,2.0008090544127537,2.0008090544127617,1.5510147708626059,2.000809054412758,1.0000000000000118,4.430574189516315e-10,2.3950007639871883e-19,1561.088958648718,0.0319787642474699,1.2984114962933767e-14,0.010735024348163213,0.02883956220902308,0.009681218451983331,2.9055864494079004e-10,-4.2939405280356785e-24,5.115113156407602e-16,1.8716362264020027e-10,1.2888903328143632e-09
17,8.156683452959887e-06,470147.99999999994,2097.110369609416,0.9828652905670391,0.036451455830598986,0.9018347921716264,1122498.4537038524,0.0,4.505443627057415e-15,4.505443627059732e-15,1.7073426727450933e-12,1.3629740013929623e-12,3.4146660222734406e-08,2666.750982613699,2666.75098261507,2713241.5888602445,2713241.5888616396,2.001391430270157,2.0013914302704583,1.5514662250158584,2.0013914302703038,1.0000000000005143,2.1880770635745428e-08,1.1947694438184814e-17,1560.5785002357668,0.03197876424747062,6.412659564832089e-13,0.010735024348163438,0.028839562209023104,0.009681218451983324,9.659183176576159e-09,-1.048216133294767e-20,1.462921282100162e-13,1.0404360474113211e-08,6.235288384556511e-08
18,9.887587867307973e-06,470147.99999999994,2069.898597014336,0.9916090057212759,0.03629853727696079,0.9018347921712229,1122498.453702584,0.0,9.65748159270624e-14,9.657481592860939e-14,3.664379412165822e-11,2.922101152000094e-11,7.32517324263781e-07,57670.70448888525,57670.704489809046,58158713.92468523,58158713.92561685,2.0021289382450704,2.002128938254504,1.5520379366313988,2.0021289382497027,1.0000000000160185,4.695833908073981e-07,2.5869062181208297e-16,1559.9302245428576,0.03197876424748495,1.3763152565511537e-11,0.010735024348168245,0.02883956220902312,0.009681218451983326,1.4123350129078278e-07,-4.828205578520813e-18,1.2080732156349157e-11,2.30074304513381e-07,1.313855552494868e-06
19,1.2062180256966726e-05,470148.0,2044.783698376275,0.9998325754071852,0.03615548974019971,0.9018347921658639,1122498.4536858096,0.0,1.3166298316215401e-12,1.316629832043018e-12,5.003970451197611e-10,3.9846706140700104e-10,9.996796799125958e-06,792760.2729590411,792760.2732128183,792893022.7505207,792893023.0043405,2.0030810712585825,2.0030810714471246,1.5527760243776159,2.003081071351102,1.0000000003201186,6.411923706831706e-06,3.561583440619961e-15,1559.0947828145056,0.031978764247674984,1.8794562736733253e-10,0.010735024348232028,0.02883956220902313,0.009681218451983319,1.301269693342844e-06,-8.995530299926307e-16,5.054482944138864e-10,3.0583419268983554e-06,1.7634385562710855e-05
