,t[s],T[K],density[kg/m3],mean_MW[kg/mol],mdot[kg/s,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_v[nm],d_g[nm],n_p,soot_mass[kg/kg],volume_fraction,SSA,total_carbon_mass_flow[kg/s],carbon_yield,total_hydrogen_mass_flow[kg/s],soot_mass_flow[kg/s],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],soot_h[J/m3],C_mass_error,H_mass_error,enthalpy_error
117,0.06328496994926953,1913.114337995673,0.15927508719450656,0.02500381924412143,0.004866794238336295,5.461393079785443e-11,5.464596615082869e-11,4.85387533921569e-05,6.143415183614166e-06,0.04627373189853801,5238442.635646851,5241515.39302609,32889278090.61357,32908570231.23244,15.931045521824156,15.923382576684114,15.919783916531749,12.343707423790914,1.00058694562591,5.891915294982796e-07,5.2135295686168424e-11,78.5376733741267,0.0004993388291794396,5.682356703375092e-06,8.38120955475219e-05,2.8674739410387763e-09,6.280411304597521e-09,-1.9028090438474725e-12,1.0181160700561802e-06,0.003943540765178089,0.007954372302450465,3.0073887740461892e-05,3.0073883312726082e-05,-0.0003102076825697749
118,0.0674076830756405,1913.1315623438782,0.15927320034152198,0.025003748158730313,0.004866463484508129,5.320986622965649e-11,5.323499596204293e-11,4.121535317548532e-05,5.218039264427898e-06,0.04072602811086389,5103707.5296621425,5106117.887242173,32043730638.415653,32058864117.0854,15.228724824792488,15.222269840357198,15.219382321573612,11.800209178573533,1.0004724731406873,5.002973905692977e-07,4.4268870288046894e-11,81.40363887271327,0.0004993048490612969,4.8246896647563745e-06,8.380639211582812e-05,2.4346789826001886e-09,6.268386053283392e-09,-1.6940065454441947e-12,9.795624144209016e-07,0.0035238114728294244,0.006753886385938921,-3.7978380721945474e-05,3.797838504850243e-05,-0.0002435561420473469
119,0.06820681917888681,1913.1339968640511,0.1592729336417423,0.025003738101897894,0.004866729378703892,5.300604093231954e-11,5.3030109356361714e-11,4.0014281824036906e-05,5.066288610742267e-06,0.03985531001234854,5084148.79420411,5086457.350868975,31920984174.499157,31935478518.340763,15.11745310706805,15.111229069146534,15.108459753343556,11.714131061355658,1.0004542431846877,4.857183579081356e-07,4.2978770993154736e-11,82.0543620875174,0.0004993321228372002,4.684347586980249e-06,8.38109699138662e-05,2.3638598022073357e-09,6.266693135253061e-09,-1.6619226509021826e-12,9.739583547961066e-07,0.0034586433259554514,0.0065574434236442495,1.664303972036494e-05,1.664303540796802e-05,-0.00016981521412617434
120,0.07109649233309452,1913.1410316808688,0.1592721627300091,0.025003709020860448,0.004866702474249903,5.240645224500855e-11,5.242727324763747e-11,3.6188672313394985e-05,4.582966949143907e-06,0.03716084212206067,5026614.074016805,5028611.140033796,31559903424.79176,31572442125.734608,14.772766537629161,14.767338521184826,14.764948199385127,11.447549241229508,1.00039740123918,4.3928177384092433e-07,3.886964342639931e-11,84.59454576760474,0.000499329339221635,4.2364719532768995e-06,8.381050269474e-05,2.1378536956445127e-09,6.261814231937657e-09,-1.5638596379588818e-12,9.574572484498273e-07,0.003258396237732324,0.005930524559383781,1.1068269410851888e-05,1.1068265152725536e-05,-0.00011990855458890197
121,0.07278333138207504,1913.1441100077416,0.15927182531204875,0.025003696282454125,0.004866703842712011,5.213782656616801e-11,5.2157115001617163e-11,3.42944523828064e-05,4.343670833160844e-06,0.0358737298185267,5000837.99551117,5002688.059988746,31398133258.744427,31409749026.15308,14.608495737171728,14.603495828383553,14.601294468426248,11.3205394018484,1.000370020530042,4.162890877697138e-07,3.683506825920555e-11,86.1750424704181,0.0004993294681465199,4.0147238690539754e-06,8.381052433428585e-05,2.025955703127944e-09,6.259686927575461e-09,-1.5176925557739253e-12,9.500548999629649e-07,0.003163582157016455,0.005620126304066677,1.1326468362369863e-05,1.132646412148234e-05,-9.524877551407994e-05
122,0.0777467419238304,1913.1501793603236,0.15927115979758943,0.025003671128425633,0.00486666975630578,5.1591473246071424e-11,5.1607417126540505e-11,2.9918981962165468e-05,3.790963943313974e-06,0.03303380502446402,4948413.437891527,4949942.70052741,31069111596.727516,31078713226.035835,14.249492216266555,14.245569888833211,14.243808253545152,11.04307743320428,1.0003090500792076,3.631781840024299e-07,3.21354503218052e-11,90.95756980888204,0.0004993259443219969,3.502479304366713e-06,8.380993287394169e-05,1.7674682842346811e-09,6.2555133931589776e-09,-1.4175200033593673e-12,9.349730217988527e-07,0.0029567175323136946,0.004903088547703198,4.269275346016661e-06,4.26927114942791e-06,-5.383286580515111e-05
123,0.08434228547133282,1913.154143976267,0.15927072473570675,0.025003654643927502,0.004866664638397194,5.121414704473527e-11,5.1227469467384543e-11,2.6189547589839632e-05,3.3199184382318443e-06,0.030787749177620716,4912208.65077158,4913486.471912092,30841880445.52997,30849903396.029076,13.97297712437754,13.970078935605573,13.968696359650105,10.829518554733069,1.0002602585967677,3.179091338873016e-07,2.812978786351742e-11,96.84449390037008,0.0004993253966146793,3.0658881400566702e-06,8.380984094338467e-05,1.5471571401128098e-09,6.2528138458148425e-09,-1.3402336788190466e-12,9.24524787176081e-07,0.002796097977271119,0.0042919417992848844,3.172377293367452e-06,3.172373128520442e-06,-2.277506922993588e-05
124,0.08802828542582394,1913.1552841976088,0.15927059949646669,0.025003649884865878,0.0048666597457522566,5.1099590383099375e-11,5.1112014246691823e-11,2.4827262011765787e-05,3.1478699690784486e-06,0.030018704364943492,4901217.086238134,4902408.721084125,30772892810.93504,30780374636.51841,13.881225885222479,13.878731345528108,13.877489019295924,10.758706469401709,1.0002431831912548,3.0137329695214994e-07,2.6666614265442e-11,99.60638407094729,0.0004993248863669218,2.9064088017131876e-06,8.380975530026821e-05,1.4666812927216694e-09,6.252045999192243e-09,-1.3142818041686318e-12,9.213436348424537e-07,0.0027419762473803173,0.004068698625124806,2.150499817046129e-06,2.150495659392486e-06,-1.4385781945424967e-05
125,0.09299643218556214,1913.1561818429595,0.15927050081369465,0.02500364612504206,0.0048666345170968245,5.1005511079177774e-11,5.101712399687913e-11,2.354693015572666e-05,2.9861806076511235e-06,0.02932918793916961,4892190.4388698805,4893304.291152583,30716236929.476852,30723230392.02649,13.801136689209535,13.799041112318085,13.797932229938565,10.696931094820235,1.0002276972199229,2.858322481529453e-07,2.5291469617791026e-11,102.60979343197106,0.000499322290117872,2.7565121860635035e-06,8.38093195298847e-05,1.3910410849605087e-09,6.251447520527019e-09,-1.2913179689265199e-12,9.187256698776061e-07,0.0026940113230325496,0.0038588688542563246,-3.0490299960237922e-06,3.0490341455861337e-06,-1.2058961950159508e-05
126,0.09945711121740221,1913.1567548476444,0.15927043774178543,0.025003643711842983,0.004866651067281052,5.094197792045644e-11,5.095297179641318e-11,2.2525872630614248e-05,2.857241909068991e-06,0.028810066833862346,4886094.724964101,4887149.201478597,30677976366.74799,30684597033.64291,13.74296170735553,13.74120315847014,13.740202639712434,10.652095471682282,1.000215843807399,2.7343835601064933e-07,2.4194803698450154e-11,105.36220029329137,0.0004993239819972129,2.6369914532081958e-06,8.380960350530364e-05,1.3307290671148027e-09,6.2510713239347e-09,-1.2742928431413044e-12,9.169530842608992e-07,0.0026584081164350475,0.0036915596617177835,3.3931099302813323e-07,3.3930684903125143e-07,-3.7512567521304856e-06
127,0.10154237572719674,1913.1568596554662,0.15927042618968176,0.025003643268078787,0.004866650323969222,5.0929785187041664e-11,5.0940647784654384e-11,2.2302811227503305e-05,2.8290749634695447e-06,0.02870155201179885,4884924.905845898,4885966.79073557,30670633731.01192,30677175340.23968,13.73115250113323,13.729470815914054,13.728494383440331,10.643000632491505,1.0002132934353996,2.7073077321671946e-07,2.395522535160499e-11,106.01510744706998,0.0004993239043806065,2.6108783695582536e-06,8.380959047765528e-05,1.3175520051835857e-09,6.251003547947827e-09,-1.2707745248016419e-12,9.166121972113092e-07,0.0026510465982628392,0.0036550056183578404,1.8386756245499758e-07,1.8386341248780243e-07,-2.9863973078304273e-06
128,0.11033051673184247,1913.1570911930673,0.15927040063181436,0.02500364228139925,0.0048666674239248075,5.090146571306994e-11,5.091199059213493e-11,2.171406017417156e-05,2.7547334802967567e-06,0.02842739363392248,4882207.863084897,4883217.355574147,30653579345.04796,30659917575.41119,13.702200673432234,13.700731288854612,13.699819493214797,10.620721929344661,1.00020713826852,2.6358434810011387e-07,2.3322880401211527e-11,107.84932352328168,0.0004993256552872634,2.5419651651617063e-06,8.380988436058205e-05,1.282777360355281e-09,6.250856540683961e-09,-1.2619826791270738e-12,9.158188179168749e-07,0.0026326461741490947,0.0035585383004325954,3.6904230536528853e-06,3.6904189168031167e-06,2.6074597736791435e-06
129,0.11590771860802632,1913.1571477073,0.1592703943707895,0.025003642037531873,0.004866649578183567,5.089394481171096e-11,5.0904364606327175e-11,2.1524775542481573e-05,2.730833681864991e-06,0.02834468933201235,4881486.304855732,4882485.718143633,30649050152.35529,30655325099.383884,13.693858411882912,13.692461167581177,13.691571044484586,10.61431098262107,1.0002047644168626,2.6128675939206606e-07,2.3119580673466638e-11,108.48115456734864,0.0004993238231465239,2.5197972438585283e-06,8.380957684282856e-05,1.2715910973803495e-09,6.250821946676401e-09,-1.2593717861894793e-12,9.156074361000842e-07,0.002627182130420752,0.003527506763160703,2.1179381826538108e-08,2.1175238621248142e-08,-5.265537880608432e-07
130,0.12429206116696925,1913.1571829247423,0.15927039045772068,0.02500364188346221,0.004866650791958816,5.088887944889842e-11,5.089921825253537e-11,2.1375620102992888e-05,2.712001386713307e-06,0.02828280602220975,4881000.34129981,4881991.986323775,30645999719.54927,30652225892.669796,13.68785079234891,13.68651384700984,13.685641155803442,10.609700656596777,1.0002032501040559,2.594762704548547e-07,2.2959381616587688e-11,108.9995858682213,0.0004993239467772317,2.5023369906268513e-06,8.38095975937661e-05,1.2627803971036386e-09,6.250801267937517e-09,-1.2574428052590055e-12,9.154646882518628e-07,0.002623145429392302,0.0035030651897331963,2.687756403338958e-07,2.68771500960658e-07,7.220442148032427e-08
131,0.12839982380818415,1913.1571902352607,0.1592703896416089,0.02500364185091647,0.004866649530889842,5.088773377279699e-11,5.0898051634459846e-11,2.133634966704068e-05,2.7070432631469594e-06,0.02826729016525402,4880890.428913579,4881880.065285713,30645309777.26987,30651523338.838734,13.686399688914177,13.685079536410298,13.684211674789754,10.608588787914961,1.0002027602972932,2.5899959546007774e-07,2.2917203603303144e-11,109.14028693767263,0.0004993238171520961,2.4977391497735103e-06,8.38095758366873e-05,1.2604602597464463e-09,6.250797208885355e-09,-1.2569646552745889e-12,9.154323404601885e-07,0.002622145495667772,0.0034966289414162027,9.174290788494138e-09,9.170151432770003e-09,-1.0980644059244721e-07
132,0.13616361895260348,1913.1571967038344,0.1592703889164165,0.025003641821603865,0.004866649750914801,5.088663998200036e-11,5.08969355694782e-11,2.1294063142977483e-05,2.7017044502344263e-06,0.028251210401997337,4880785.495886966,4881772.995829019,30644651081.051563,30650851228.79259,13.684939588457624,13.683638295341947,13.682775649675877,10.607471546776699,1.0002024175074191,2.5848631049613884e-07,2.2871786223494238e-11,109.2948030701198,0.0004993238394706142,2.492788991771653e-06,8.380957958276439e-05,1.25796233859092e-09,6.250793828775985e-09,-1.2564738808930298e-12,9.154013691957168e-07,0.002621118949614477,0.003489699502743355,5.3871774796804524e-08,5.3867634757461104e-08,7.806735614943847e-09
133,0.1418182681116183,1913.1571985669184,0.15927038870596102,0.02500364181292022,0.004866649497129399,5.088628946827061e-11,5.089657689914758e-11,2.127837359246964e-05,2.6997236370961364e-06,0.028245509568354994,4880751.869958596,4881738.587560027,30644439996.748272,30650635232.469414,13.684440298362155,13.683145992077238,13.682285324836064,10.607089916338946,1.0002022111730264,2.5829586664534574e-07,2.2854935045415162e-11,109.35331616102712,0.0004993238133368491,2.490952165019419e-06,8.380957519631286e-05,1.257035449520174e-09,6.250792953550146e-09,-1.2563017808188897e-12,9.153913885939328e-07,0.002620759083438857,0.0034871282348274218,1.5334636329665044e-09,1.5293246588156076e-09,-2.1546094178572872e-08
134,0.15152822784271278,1913.157199727897,0.15927038857349263,0.02500364180730003,0.004866649389736265,5.088604208031154e-11,5.08963229242234e-11,2.1265569165115385e-05,2.698107104094311e-06,0.02824105842525139,4880728.137715113,4881714.223527817,30644291016.236103,30650482285.194107,13.684063973760313,13.68277628975683,13.681917438307574,10.606803325392885,1.0002020378218732,2.5814044320312806e-07,2.2841182608608782e-11,109.40191344999276,0.0004993238022405832,2.489453160180906e-06,8.380957333384741e-05,1.256279030380752e-09,6.250792492805052e-09,-1.2561686249665526e-12,9.15384389000302e-07,0.0026204811535664413,0.0034850298638343623,-2.068912151582264e-08,2.069326086750805e-08,-2.773368388940523e-08
135,0.16302161933743342,1913.1572000377823,0.15927038853734699,0.025003641805672886,0.004866649498148033,5.0885959409865976e-11,5.089623759046054e-11,2.1260321231661286e-05,2.697444579111029e-06,0.028239340338848888,4880720.207282374,4881706.037643122,30644241230.929783,30650430896.00061,13.68392563392048,13.682640911185066,13.68178282983755,10.60669838076362,1.0002020118703074,2.580767424492277e-07,2.283554613463407e-11,109.42225971565225,0.0004993238133319478,2.4888388664649427e-06,8.380957519549017e-05,1.2559690491242133e-09,6.250792420933321e-09,-1.2561180202593538e-12,9.153820416787981e-07,0.0026203754506050106,0.003484169949043936,1.5236476525590874e-09,1.5195084461953536e-09,-2.0610435127609834e-10
136,0.17381225253925484,1913.1572000890521,0.15927038853105863,0.02500364180535599,0.004866649488252731,5.088593979170137e-11,5.089621719828181e-11,2.1258768336490804e-05,2.697248538198946e-06,0.028238862402992743,4880718.325415955,4881704.081537198,30644229416.594833,30650418615.543457,13.683889071093777,13.682604918827622,13.68174697290608,10.606670479711331,1.0002020458000607,2.5805789301609564e-07,2.283387826898884e-11,109.42840024362836,0.0004993238123072661,2.488657071778291e-06,8.380957502350135e-05,1.2558773129863598e-09,6.250792428142335e-09,-1.2561043069592752e-12,9.15381438955658e-07,0.0026203464878038823,0.003483915464965094,-5.284908912528541e-10,5.326296307810215e-10,-9.917352298828786e-10
137,0.18200903941302074,1913.1572000956787,0.15927038853014688,0.025003641805299084,0.004866649503386723,5.088593533609687e-11,5.089621253103064e-11,2.1258339717218917e-05,2.69719442920708e-06,0.028238737246480745,4880717.898029286,4881703.633850462,30644226733.367065,30650415804.85909,13.683879972824554,13.682595966870208,13.681738114125203,10.606663540209468,1.0002019673546068,2.580526903281571e-07,2.2833417916564036e-11,109.43012146306428,0.0004993238138574341,2.4886069032151103e-06,8.380957528369096e-05,1.2558519972331336e-09,6.250792435429291e-09,-1.256100581208003e-12,9.153813149487467e-07,0.0026203390032904185,0.003483845236829336,2.5760435632705016e-09,2.5719036568486192e-09,2.4053603000927457e-09
