,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
0,0,0.0,584325.0000000002,2450.0,1.1116754563090454,0.03875465,1.1116754563090452,0.9999999999999998,0.9999999999999998,1.4901327247760852e-19,1.660539131934866e-24,4.800286584411558e-12,3.321078263869749e-23,1.2567588138810746e-17,0.0997594106953998,1.1116755070483078e-06,89.73789079289232,0.0010000000456421,1.9999399719905624,88.00959055791596,68.22448880458599,88.00959055791596,1.0,6.40950293182867e-14,3.560834962127039e-17,2.179744580432004e-07,0.0172267507328509,3.720668529557468e-12,0.0057828872662223,0.0172267507328509,0.0057828872662223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.5090298862187521e-09,584325.0000000001,2449.9177577793494,1.111707805927331,0.0387544767917562,1.1116754563090452,0.9999709009704586,0.9999709009704586,1.6608323394052085e-24,1.660539131957044e-24,7.143640378885364e-22,3.321078263914104e-23,1.2567588138983729e-17,1.111904154991997e-06,1.111707856682918e-06,0.0010001766193091,0.0010000000456555,1.9999399719905804,2.002656053190076,1.552446552860525,2.002656053190074,1.0000000000000002,9.575642132972122e-24,5.3199559905410406e-27,1459.022704179995,0.0172267507327867,5.5369856521707885e-22,0.0057828872662223,0.0172267507327867,0.0057828872662223,6.1636950096551915e-127,1.9678217390942448e-81,2.750452471185595e-37,2.3070128169562378e-46,5.169957865497763e-136,1.6505611426248855e-90,2.3070128169562378e-46
2,2,1.2530974628100482e-08,584325.0000000002,2449.3193308551517,1.111943219324177,0.0387532150438727,1.1116754563090452,0.9997591936256472,0.9997591936256472,1.670190121610238e-24,1.6798411156564596e-24,5.4339735819645846e-21,3.3210782638697495e-23,2.3604360754810854e-17,1.1184058416662472e-06,1.1248684161836764e-06,0.0010058120075105,0.0010116239720112,2.1767175938274046,2.125035773104597,1.6496899977161104,2.114471045836945,1.0057783805097091,7.259344467013544e-23,4.0339405469383206e-26,361.470496850287,0.0172267507327936,4.2118348855500045e-21,0.0057828872662243,0.0172267507327936,0.0057828872662243,3.664338885401009e-102,5.064045419501703e-69,2.6289451111140817e-29,1.1371733355685663e-37,1.5850419373283502e-110,2.1904972802708265e-77,1.1371733355685663e-37
3,3,4.305802382401874e-08,584325.0000000001,2447.6808083399387,1.1125881402869968,0.0387497518998063,1.1116754563090452,0.99917967489954,0.99917967489954,1.661531779747729e-24,1.6605391320099468e-24,8.880251548407408e-22,3.321078264019939e-23,1.2567588139384068e-17,1.1132532812264325e-06,1.1125881911182212e-06,0.0010005978321315,0.0010000000456873,1.9999399719905808,2.009131337751638,1.5574661532958445,2.0091313377516364,1.0000000000000002,1.1894423352960817e-23,6.613438143176308e-27,1174.5907191100762,0.0172267507327864,6.883020813384132e-22,0.0057828872662222,0.0172267507327864,0.0057828872662222,2.1222358104106654e-89,1.1608440346762946e-62,7.20917647192829e-30,1.0639979498042086e-36,2.7191071843215574e-97,1.4873292171844098e-70,1.0639979498042086e-36
4,4,9.722460574285029e-08,584325.0000000001,2444.832346593352,1.1137109301201624,0.038743716853468,1.1116754563090452,0.9981723499733476,0.9981723499733476,1.6994321272862964e-24,1.7383251402520312e-24,1.995472741742996e-20,3.3210782646060786e-23,5.704521696406443e-17,1.1397962174709908e-06,1.1658814658034338e-06,0.0010234219550561,0.0010468438750777,2.688376665981933,2.495395130406771,1.9438230337304447,2.4535524157723607,1.022885887786434,2.664793984441572e-22,1.483151784866681e-25,237.97624870450943,0.0172267507328139,1.54667695381005e-20,0.0057828872662303,0.0172267507328139,0.0057828872662303,8.476984580448299e-80,8.974976225615903e-58,6.275826551484346e-24,1.4145975167061027e-31,1.9107383095858495e-87,2.023066171343507e-65,1.4145975167061027e-31
5,5,1.730022886739215e-07,584325.0000000002,2440.955407470414,1.115242540829501,0.0387354753718108,1.1116754563090452,0.996801516809247,0.996801516809247,1.7586464236494303e-24,1.856753759795946e-24,4.93588739970986e-20,3.321078331473859e-23,1.247620752625453e-16,1.1811328969796202e-06,1.247023232068822e-06,0.0010590816380633,0.001118163257242,3.625752993568534,3.207641285530223,2.509476685720761,3.105647193996328,1.0557857081601028,6.590933817896103e-22,3.6733791402645667e-25,210.43290796056945,0.0172267507328552,3.8257717722890805e-20,0.0057828872662426,0.0172267507328552,0.0057828872662426,2.8787082415475384e-69,2.1231296519532322e-52,3.1363854376341543e-22,1.1171629594170446e-29,9.76819880235929e-77,7.204401623667254e-60,1.1171629594170446e-29
6,6,2.87888450785696e-07,584325.0000000001,2435.2799538367167,1.117490201720121,0.038723297704988,1.1116754563090452,0.9947966027781494,0.9947966027781494,1.8493893225518656e-24,2.0382395986974987e-24,9.441923407834414e-20,3.3210817459081964e-23,2.285347181637251e-16,1.2445804508303872e-06,1.3716707064940557e-06,0.0011137282894423,0.0012274565847491,4.850865097220956,4.210619889240219,3.306025048334931,4.023921173072408,1.1021149380732065,1.260754355544997e-21,7.040827084228476e-25,201.51144906201415,0.0172267507329176,7.318368739921376e-20,0.0057828872662617,0.0172267507329176,0.0057828872662617,1.4766194690503142e-57,2.0341798128636834e-46,7.190792573921029e-21,3.8700793605212522e-28,6.992002761153254e-65,9.632161441476507e-54,3.8700793605212522e-28
7,7,5.226575014806785e-07,584325.0000000001,2424.253812322596,1.12186388499448,0.0386988422105961,1.1116754563090452,0.9909183022809536,0.9909183022809536,1.8620336682925444e-24,2.0635282959053737e-24,1.0069806931994887e-19,3.321211638296819e-23,2.429946766187626e-16,1.2579940937683583e-06,1.3941243129901354e-06,0.0011213428924798,0.0012426857942726,5.004469521932405,4.3426176740518745,3.4108554163328,4.144771338467903,1.108212129052208,1.344591461685488e-21,7.538414163634483e-25,200.90207747728357,0.0172267507329256,7.805036864311672e-20,0.0057828872662643,0.0172267507329256,0.0057828872662643,2.2012593051736088e-44,8.146426636677398e-40,1.1104517177695724e-19,1.319332723530179e-26,2.2296058044910567e-51,8.251336867009988e-47,1.319332723530179e-26
8,8,8.887567115891477e-07,584325.0000000002,2407.953293709337,1.128301082159909,0.0386591927140516,1.1116754563090452,0.9852649030354224,0.9852649030354224,1.8638283498099014e-24,2.0671176597528744e-24,1.015894173806336e-19,3.323210706574252e-23,2.4504728872460583e-16,1.2664318470977902e-06,1.4045626230957906e-06,0.0011224236749586,0.0012448473597198,5.025968477423269,4.361208897262173,3.4256202075468907,4.1617924648837885,1.1090708326030705,1.3564930610189109e-21,7.6487780474052205e-25,200.8215628509011,0.0172267507329267,7.874124628551453e-20,0.0057828872662647,0.0172267507329267,0.0057828872662647,1.685294777031027e-33,2.2721383738449635e-34,9.484056434308492e-19,1.961311249932583e-25,2.5492623842866536e-40,3.436989879703883e-41,1.9613112499325805e-25
9,9,1.361761590967822e-06,584325.0000000001,2387.4498298115154,1.1362706491867132,0.0386007515140352,1.1116754563090452,0.9783544590408352,0.9783544590408352,1.8641332511831214e-24,2.0677274626203893e-24,1.0174193346629207e-19,3.3370943382300053e-23,2.4539758790290247e-16,1.2755857151656986e-06,1.4149007923657735e-06,0.0011226072908586,0.0012452145915926,5.029624574362325,4.364371987494983,3.428132011169365,4.164688346934105,1.1092165548294637,1.358529662296269e-21,7.7143686963479505e-25,200.80715429355504,0.0172267507329143,7.885946043589529e-20,0.0057828872662656,0.0172267507329143,0.0057828872662656,1.8768822090410512e-25,2.4094446486488547e-30,4.212158162357529e-18,1.4451271618216357e-24,4.0073730739705547e-32,5.145657253294981e-37,1.4451271217473901e-24
