,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
0,0,0.0,566437.5000000002,2375.0,1.1116754563090454,0.03875465,1.1116754563090452,0.9999999999999998,0.9999999999999998,1.4901327247760852e-19,1.660539131934866e-24,4.800286584411558e-12,3.321078263869749e-23,1.2567588138810746e-17,0.0997594106953998,1.1116755070483078e-06,89.73789079289232,0.0010000000456421,1.9999399719905624,88.00959055791596,68.22448880458599,88.00959055791596,1.0,6.40950293182867e-14,3.560834962127039e-17,2.179744580432004e-07,0.0172267507328509,3.720668529557468e-12,0.0057828872662223,0.0172267507328509,0.0057828872662223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.0071178523161373e-09,566437.5000000002,2374.9357205344186,1.1117016664521675,0.0387545148035301,1.1116754563090452,0.9999764234021472,0.9999764234021472,1.660573627148994e-24,1.6605391319376127e-24,6.501294539316167e-22,3.321078263875241e-23,1.2567588138838537e-17,1.1117248111312412e-06,1.111701717194465e-06,0.0010000208191457,0.0010000000456438,1.999939971990587,2.000259562753312,1.5505888083359014,2.00025956275331,1.0,8.71796051968338e-24,4.8434255913214976e-27,1602.5628066797983,0.0172267507327868,5.039107888343433e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,1.2275752695072646e-134,2.894511437586982e-85,1.840028890273848e-37,2.0527947929014076e-46,1.3695220409088327e-143,3.2292090838790094e-94,2.0527947929014076e-46
2,2,1.5825865726916372e-08,566437.5,2374.494552530367,1.1118815649716711,0.0387535859594243,1.1116754563090452,0.9998146307402522,0.9998146307402522,1.660699497728296e-24,1.66085986359816e-24,7.211979043234635e-22,3.321078263869749e-23,1.2750980946911705e-17,1.1119889951696267e-06,1.1120963746700923e-06,0.0010000966201809,0.0010001931947656,2.0029109724882117,2.002030507965196,1.5520013303303066,2.0018539550028898,1.0000965652546312,9.666890199477924e-24,5.371490264439575e-27,1466.340495241329,0.0172267507327868,5.589954472537064e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,3.3943218240521514e-111,1.5236275912832822e-73,3.2277605563692903e-31,1.755428219294971e-39,1.8460079903467858e-119,8.286275885561303e-82,1.755428219294971e-39
3,3,5.2378240499570594e-08,566437.5,2373.338036236067,1.1123533387155566,0.0387511459410408,1.1116754563090452,0.999390587160646,0.999390587160646,1.6607253252977813e-24,1.6605391319496887e-24,6.877939526058635e-22,3.3210782638993943e-23,1.2567588138929918e-17,1.1124781157354182e-06,1.1123533894956885e-06,0.0010001121739069,0.001000000045651,1.9999399719905877,2.001664856002987,1.5516781829480526,2.0016648560029853,1.0,9.220869482374044e-24,5.125829013999044e-27,1515.1585548147254,0.0172267507327868,5.33104278105153e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,7.972374299028702e-99,2.3372401442888914e-67,3.131316258688621e-30,6.232629115188829e-38,1.2279627281021785e-106,3.5999929013230876e-75,6.232629115188829e-38
4,4,1.1719664662755266e-07,566437.5000000001,2371.318751067146,1.1131779220407672,0.0387468773005405,1.1116754563090452,0.9986502914745492,0.9986502914745492,1.6671888326948863e-24,1.660539132464186e-24,2.292591161644604e-21,3.32107826492846e-23,1.2567588142823149e-17,1.1176357421776929e-06,1.1131779732034463e-06,0.0010040045890676,0.0010000000459609,1.999939971990586,2.0613035703950504,1.5979097444922876,2.0613035703950486,1.0,3.0648657668451125e-23,1.7050044628622972e-26,455.84636803713954,0.0172267507327884,1.77697136124599e-21,0.0057828872662227,0.0172267507327884,0.0057828872662227,2.0207070963157384e-86,3.845728754101993e-61,2.3844435314175764e-28,6.689607956574165e-36,5.450315673820368e-94,1.0372841376715025e-68,6.689607956574165e-36
5,5,2.096474601588068e-07,566437.5000000002,2368.498287642005,1.1143315662082476,0.0387408991312107,1.1116754563090452,0.997616409711662,0.997616409711662,1.6781527939321132e-24,1.660539133336922e-24,5.014787225253975e-21,3.321078266675956e-23,1.2567588149427189e-17,1.126151549570436e-06,1.1143316180096128e-06,0.0010106072408972,0.0010000000464864,1.9999399719905848,2.1614173418806284,1.6755173192873094,2.1614173418806275,1.0,6.699632846664131e-23,3.730911211878023e-26,208.5349990137904,0.0172267507327911,3.88692647476932e-21,0.0057828872662233,0.0172267507327911,0.0057828872662233,1.4935280177870405e-72,3.486504065872596e-54,4.7167021090244014e-27,2.1960905829146253e-34,6.170993253567899e-80,1.4405621265112999e-61,2.1960905829146253e-34
6,6,3.546391813316262e-07,566437.5000000001,2364.194783476285,1.1160950936515568,0.038731707323999,1.1116754563090452,0.9960400889067152,0.9960400889067152,1.7608819718642074e-24,1.6605391399222e-24,2.5555268684432464e-20,3.321078279889697e-23,1.256758819925813e-17,1.1835383949718743e-06,1.116095149961053e-06,0.0010604279166747,0.0010000000504522,1.9999399719905695,2.8766372348046687,2.229951344809819,2.876637234804668,1.0,3.412596954941545e-22,1.9034245893362916e-25,40.93972868927256,0.0172267507328117,1.9807709870349123e-20,0.005782887266228,0.0172267507328117,0.005782887266228,2.569862329769795e-60,6.301701008930811e-48,5.852749317037356e-26,4.39181055929001e-33,1.5402484598497406e-67,3.776934561670978e-55,4.39181055929001e-33
7,7,6.760936430820105e-07,566437.5000000001,2355.0432049937094,1.1198494032710546,0.0387115614923057,1.1116754563090452,0.9927008516161784,0.9927008516161784,1.735905779329708e-24,1.6605391386914195e-24,1.9354034536198927e-20,3.321079844353171e-23,1.2567588786320464e-17,1.1706758982417069e-06,1.1198494589399394e-06,0.0010453869018657,0.001000000049711,1.999939980627489,2.667893977335576,2.068134866151609,2.6678939766589083,1.0000000002423757,2.584587465368686e-22,1.4464397032269298e-25,54.05535771544994,0.0172267507328055,1.5001176690710215e-20,0.0057828872662268,0.0172267507328055,0.0057828872662268,7.825811668702086e-46,1.0141060446637686e-40,9.801136964215376e-25,1.5704252856164699e-31,1.0770754678830986e-52,1.3957260557399453e-47,1.5704252856164697e-31
8,8,1.1416738112571012e-06,566437.5000000001,2342.311433081997,1.1250491002489849,0.0386810542859081,1.1116754563090452,0.9881128353091612,0.9881128353091612,1.775100570785093e-24,1.6605391410540453e-24,2.9085545187256564e-20,3.321079109763283e-23,1.2567589008502053e-17,1.2026668644881904e-06,1.1250491577770792e-06,0.0010689905571428,0.0010000000511338,1.9999400314054556,2.9928480170754543,2.3200372225391126,2.992848017075412,1.0000000000000124,3.883971261487066e-22,2.183720051832074e-25,35.97112157926193,0.017226750732816,2.2544002475742376e-20,0.0057828872662287,0.017226750732816,0.0057828872662287,5.914415224826681e-35,3.1942945172532344e-35,1.3631648898398918e-21,2.6091305236248054e-28,1.129427418811358e-41,6.09994373520522e-42,2.6091305236246314e-28
9,9,1.854318551951848e-06,566437.5000000001,2323.00834766782,1.132803105673208,0.0386266806610582,1.1116754563090452,0.9813492307194842,0.9813492307194842,1.7747349608290624e-24,1.6605391423493787e-24,2.899478298814014e-20,3.321248790192413e-23,1.2567757965651439e-17,1.2107064076180884e-06,1.1328031644814578e-06,0.0010687703816795,0.0010000000519139,1.9999525464404049,2.989894858488088,2.317747952310788,2.9898948567768966,1.0000000007370091,3.87185240861472e-22,2.191909922138546e-25,36.08419587523965,0.0172267507328263,2.2473653330542892e-20,0.005782887266231,0.0172267507328263,0.005782887266231,1.2124233360475955e-25,1.456681480428707e-30,5.2427174793715534e-20,1.765650343585366e-26,3.834313008051115e-32,4.6070363495743825e-37,1.7656465092262876e-26
