,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
0,0,0.0,488924.9999999999,2050.0,1.1116754563090447,0.03875465,1.1116754563090443,0.9999999999999998,0.9999999999999998,1.4901327247760852e-19,1.660539131934866e-24,4.800286584411558e-12,3.321078263869749e-23,1.2567588138810746e-17,0.0997594106953997,1.111675507048307e-06,89.73789079289232,0.0010000000456421,1.9999399719905624,88.00959055791596,68.22448880458599,88.00959055791596,1.0,6.409502931828665e-14,3.5608349621270365e-17,2.179744580432004e-07,0.0172267507328509,3.720668529557468e-12,0.0057828872662223,0.0172267507328509,0.0057828872662223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.173832103290209e-08,488925.0,2049.978235782316,1.1116859544050204,0.0387546045290961,1.1116754563090443,0.9999905565992496,0.9999905565992496,1.6605391600707142e-24,1.660539131934872e-24,6.41571767342426e-22,3.321078263869755e-23,1.2567588138852165e-17,1.1116860239809509e-06,1.1116860051447658e-06,0.0010000000625859,0.0010000000456421,1.999939971990708,1.9999402326686453,1.5503412656346096,1.9999402326686355,1.0000000000000009,8.603695430883875e-24,4.7798759332194585e-27,1623.846333380416,0.0172267507327868,4.9727778586289275e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,8.406480213397647e-129,2.9636423612204056e-82,1.4434517859191889e-33,9.417947969458579e-42,5.484893505164467e-137,1.9336585974212623e-90,9.417947969458579e-42
2,2,7.118808612872256e-08,488925.0,2049.8681097036792,1.1117390768314095,0.0387543744153288,1.1116754563090443,0.9999427738723132,0.9999427738723132,1.6605394861835904e-24,1.660539840432527e-24,6.417406915256768e-22,3.321078263869752e-23,1.2567993385513077e-17,1.1117393647448415e-06,1.1117396019162498e-06,0.0010000002589757,0.0010000004723094,1.9999465384195525,1.999944591222632,1.5503447311194858,1.9999442003948804,1.0000002133336423,8.605950962983391e-24,4.781357486898168e-27,1623.4730876139974,0.0172267507327868,4.9740871781486065e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,7.499818530816233e-108,8.852976112777835e-72,1.5581284465699137e-29,3.705841685356876e-37,1.7830860476378364e-115,2.104800019364757e-79,3.705841685356876e-37
3,3,1.8617226417047858e-07,488925.0,2049.6555599164435,1.111841620157615,0.0387539302051738,1.1116754563090443,0.9998505507928848,0.9998505507928848,1.6605406307687907e-24,1.6605391319350193e-24,6.419369208064377e-22,3.3210782638710925e-23,1.2567588138853921e-17,1.1118426744737134e-06,1.1118416709045637e-06,0.001000000948261,0.0010000000456422,1.9999399719907816,1.99995385864131,1.550351828404117,1.9999538586412997,1.0000000000000009,8.608571081862205e-24,4.7832543434925116e-27,1622.9266327835614,0.0172267507327868,4.975608137567729e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,8.09597712405846e-97,2.909286604139576e-66,2.8017270143858296e-27,1.4172817398630182e-34,4.037395371188682e-104,1.4508480533932232e-73,1.4172817398630182e-34
4,4,3.70340227712384e-07,488924.9999999999,2049.316283195096,1.112005340694765,0.0387532209557597,1.1116754563090443,0.999703342804528,0.999703342804528,1.660542886776054e-24,1.6605391319352467e-24,6.4249705540511e-22,3.321078263946428e-23,1.256758813893007e-17,1.112007905935834e-06,1.1120053914493388e-06,0.0010000023068603,0.0010000000456423,1.999939971996305,1.9999747604380385,1.5503680313473172,1.999974760438028,1.0000000000000009,8.616050186056667e-24,4.788114976569807e-27,1621.5178622866638,0.0172267507327868,4.979949701632597e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,6.107789184860577e-89,2.527755100725045e-62,1.001758954280108e-25,8.295191861796574e-33,4.657069942943516e-96,1.9280452640847374e-69,8.295191861796574e-33
5,5,6.866558179526477e-07,488925.0,2048.7366869605257,1.1122851206157396,0.0387520081381891,1.1116754563090443,0.9994518812709124,0.9994518812709124,1.660581854133906e-24,1.6605391319391798e-24,6.521720976750686e-22,3.321078266829564e-23,1.2567588141818095e-17,1.1123137881540727e-06,1.112285171385718e-06,0.0010000257735519,0.0010000000456447,1.9999399722084177,2.00033578225295,1.5506478932193417,2.000335782252939,1.0000000000000009,8.745234581029496e-24,4.8611281315008676e-27,1597.5648397775833,0.0172267507327868,5.054940277013807e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,7.310712715652797e-82,8.751173627719706e-59,1.972918043008352e-24,3.09614157724537e-31,1.014577470146496e-88,1.2153753974528458e-65,3.09614157724537e-31
6,6,1.4830476547339916e-06,488924.9999999999,2047.292698210082,1.1129824006799605,0.0387489710943175,1.1116754563090443,0.9988257277292816,0.9988257277292816,1.6666506951503686e-24,1.6605391325517325e-24,2.15897922627557e-21,3.3210784689132063e-23,1.2567588346121779e-17,1.1170787491686692e-06,1.1129824518923314e-06,0.0010036805150613,0.0010000000460136,1.9999399870258752,2.056355847970421,1.5940743007522642,2.0563558479704103,1.0000000000000009,2.8864626495899024e-23,1.605475626392666e-26,484.0207965748012,0.0172267507327868,1.673409685425385e-21,0.0057828872662225,0.0172267507327868,0.0057828872662225,1.0845786126958283e-67,1.0895434431001716e-51,5.795890053366291e-23,2.114855285411092e-29,3.583867545862499e-74,3.6002741539795754e-58,2.114855285411092e-29
7,7,3.7407119339914025e-06,488925.0,2043.26801749551,1.1149224323814024,0.0387402065092138,1.1116754563090443,0.9970877112361776,0.9970877112361776,1.733843366348457e-24,1.6605391393337673e-24,1.884196779741018e-20,3.3210999991707524e-23,1.2567609786664776e-17,1.1641405579861353e-06,1.1149224882366489e-06,0.0010441448877296,0.0010000000500978,1.999941574326442,2.6503896842091503,2.054565646673759,2.650389684209141,1.0000000000000009,2.5162146068439265e-22,1.4019799743285225e-25,55.524291554083504,0.017226750732789,1.460427734594371e-20,0.005782887266218,0.017226750732789,0.005782887266218,3.722712980066915e-47,2.480666435326437e-41,2.2517268103095157e-21,2.2902805082111117e-27,3.520474147292397e-53,2.3459025988594283e-47,2.2902805082111117e-27
8,8,7.624571501869142e-06,488925.0,2036.224000755377,1.1182733125888156,0.0387226841170087,1.1116754563090443,0.994099960890154,0.994099960890154,1.7191089378568605e-24,1.660576372715326e-24,1.5174434777142506e-20,3.322817381512769e-23,1.256847953928596e-17,1.157716609871288e-06,1.118298443057958e-06,0.0010352716074312,0.0010000224725644,1.9999852085149117,2.523810454748804,1.956442212983569,2.523810454747963,1.0000000000002751,2.0265135443194744e-22,1.1325227866895234e-25,68.94634514588742,0.017226750732792,1.176159817467595e-20,0.0057828872662245,0.017226750732792,0.0057828872662245,8.06823706226843e-20,2.732014988147814e-34,2.8920869491928116e-20,1.87998299882121e-25,1.3024886993909673e-25,4.410405396910507e-40,5.774942994302387e-26
9,9,1.2456377726471216e-05,488925.0,2026.4950978026263,1.1227720291989274,0.0386927041744268,1.1116754563090443,0.9901168067948752,0.9901168067948752,1.720834151838711e-24,1.662272286078873e-24,1.518270220666106e-20,1.534785395037196e-22,1.258567942049766e-17,1.1635405053712156e-06,1.1239439511019523e-06,0.0010363105555821,0.0010010437754704,2.0003088378964256,2.523859869210795,1.9564805187680585,2.5238598692086605,1.0000000000013087,2.0289649272661077e-22,1.138454301183865e-25,68.95728321727702,0.0172267507327881,1.1768006201423756e-20,0.0057828872662233,0.0172267507327881,0.0057828872662233,5.512604065938943e-21,6.631279011076136e-33,1.293492077428018e-19,8.983048570560607e-25,4.488656814458059e-25,1.5997568620235982e-38,4.49439175610239e-25
10,10,1.8191210256703537e-05,488925.0,2013.0103448562177,1.128837008639759,0.0386428533303051,1.1116754563090443,0.9847971388257424,0.9847971388257424,1.9055348368102248e-24,1.8469981695066693e-24,1.524756581592622e-20,2.8980069024363557e-22,1.399959809447762e-17,1.2953855177838096e-06,1.2555922011676268e-06,0.0011475399086576,0.0011122883034111,2.0013431234392915,2.4739119104562275,1.917761170896301,2.473911910345296,1.0000000003627103,2.0391533165289168e-22,1.150351589138434e-25,76.32093905677124,0.017226750732787,1.181828153091973e-20,0.0057828872662227,0.017226750732787,0.0057828872662227,1.3972371772654187e-16,5.1606205502903336e-26,3.6224022691666013e-19,3.1886917918011393e-22,3.1692413279624565e-22,1.169426751619594e-31,1.9450462669255515e-24
