,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
0,0,0.0,608175.0000000002,2550.0,1.1116754563090454,0.03875465,1.1116754563090452,0.9999999999999998,0.9999999999999998,1.4901327247760852e-19,1.660539131934866e-24,4.800286584411558e-12,3.321078263869749e-23,1.2567588138810746e-17,0.0997594106953998,1.1116755070483078e-06,89.73789079289232,0.0010000000456421,1.9999399719905624,88.00959055791596,68.22448880458599,88.00959055791596,1.0,6.40950293182867e-14,3.560834962127039e-17,2.179744580432004e-07,0.0172267507328509,3.720668529557468e-12,0.0057828872662223,0.0172267507328509,0.0057828872662223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8.537619342896182e-10,608175.0000000001,2549.910812188665,1.1117089419519035,0.0387544618505761,1.1116754563090452,0.9999698791278948,0.9999698791278948,1.660539154387245e-24,1.660539131934868e-24,6.415703561406877e-22,3.321078263869752e-23,1.2567588138814524e-17,1.1117090077242655e-06,1.1117089926926958e-06,0.0010000000591632,0.0010000000456421,1.9999399719905764,1.9999401800113663,1.5503412248150137,1.9999401800113652,1.0,8.603676588047057e-24,4.7799643033862585e-27,1623.8498897472,0.0172267507327868,4.972766920503035e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,3.055882471697176e-128,4.364934395043264e-106,1.3391946514978814e-37,6.355189652566913e-47,1.4501784816619857e-137,2.0713931220144406e-115,6.355189652566913e-47
2,2,9.365852155169324e-09,608175.0000000002,2549.025779201618,1.1120412902942982,0.0387525925289768,1.1116754563090452,0.9996710248185512,0.9996710248185512,1.6605465876518243e-24,1.6605540433719442e-24,6.4526707988911865e-22,3.3210782638697484e-23,1.2576114552187793e-17,1.1120463340464033e-06,1.1120513270446658e-06,0.0010000045355798,0.0010000090255195,2.000078127129518,2.000037174766188,1.5504182593797062,2.000028964967802,1.0000044899192682,8.653036477893341e-24,4.80882447162163e-27,1615.6823005560564,0.0172267507327868,5.001419967506354e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,9.435828103782085e-102,7.291887492914296e-69,4.4262123063383055e-32,1.4591491854893987e-40,3.110563899837978e-110,2.4038040697294896e-77,1.4591491854893987e-40
3,3,3.3208506770155394e-08,608175.0000000002,2546.584179148794,1.1129589386493377,0.0387474208451838,1.1116754563090452,0.9988467837440168,0.9988467837440168,1.6605703816734684e-24,1.6605391319370782e-24,6.49323648452737e-22,3.3210782638741776e-23,1.2567588138830682e-17,1.1129799342577102e-06,1.1129589894486634e-06,0.0010000188646747,0.0010000000456434,1.999939971990574,2.000229494686837,1.550565499757239,2.000229494686836,1.0000000000000002,8.707201135866306e-24,4.842918897168793e-27,1604.5430742824708,0.0172267507327867,5.032862146483046e-22,0.0057828872662227,0.0172267507327867,0.0057828872662227,2.949783422256969e-87,1.291590524265767e-61,1.839356327461912e-29,1.8516606157731836e-37,2.94898539309597e-95,1.2912413105648738e-69,1.8516606157731836e-37
4,4,7.401591796273346e-08,608175.0,2542.5176423246585,1.1144904864326717,0.0387387820170346,1.1116754563090452,0.9974741550888993,0.9974741550888993,1.6605882469958314e-24,1.6606373620776162e-24,6.659539329086985e-22,3.3210782638705853e-23,1.2623755749477352e-17,1.1145235014562345e-06,1.114556465626024e-06,0.0010000296234234,0.0010000592012171,2.0008500205904363,2.000580281649051,1.5508495855272562,2.000526204793336,1.0000295769176213,8.929254246869498e-24,4.9732584834483945e-27,1571.633984781447,0.0172267507327861,5.16176231718081e-22,0.0057828872662218,0.0172267507327861,0.0057828872662218,3.28629110734684e-78,4.323617759549735e-57,1.1248003206376634e-26,1.9169072443161026e-34,5.572901803233035e-86,7.332667876292595e-65,1.9169072443161026e-34
5,5,1.3188439275464776e-07,608175.0000000002,2536.9592060596324,1.1165904824189652,0.0387269261041411,1.1116754563090452,0.9955981837680792,0.9955981837680792,1.6606328964766434e-24,1.660726661058166e-24,6.881256033792722e-22,3.321078263987955e-23,1.2674816436434656e-17,1.116653583146159e-06,1.116716632936484e-06,0.0010000565119694,0.0010001129783206,2.001677231406571,2.00116234026252,1.551311846469379,2.001059106755496,1.000056463160354,9.225297794241681e-24,5.14782522186608e-27,1527.3525754802042,0.0172267507327837,5.333613382980654e-22,0.0057828872662499,0.0172267507327837,0.0057828872662499,4.008585992432925e-66,4.7947543318963023e-51,4.220099902923126e-25,1.1644977795883972e-32,1.0373284883626832e-73,1.2407732856031252e-58,1.1644977795883972e-32
6,6,2.195445980239693e-07,608175.0000000001,2528.9271514331435,1.1196356335217312,0.0387095972090014,1.1116754563090452,0.9928903859663274,0.9928903859663274,1.6606960985910308e-24,1.6608530653137295e-24,7.195099876816988e-22,3.3210782674091495e-23,1.2747093724733197e-17,1.119741521015735e-06,1.1198473574520174e-06,0.0010000945731725,0.001000189100743,2.00284801059133,2.0019862008182128,1.5519661423557858,2.001813389737213,1.0000945186315735,9.644352572911704e-24,5.3963395429627236e-27,1469.3190782819668,0.0172267507327793,5.576871548800957e-22,0.0057828872662939,0.0172267507327793,0.0057828872662939,1.5404590733799223e-54,2.989971640361375e-45,8.632645172687313e-24,3.597174899286998e-31,5.565231279768325e-62,1.0801953218103964e-52,3.597174899286998e-31
7,7,3.663721304193775e-07,608175.0,2516.275307096324,1.1244439572514384,0.038681347251204,1.1116754563090452,0.9886446088664088,0.9886446088664088,1.6606254181162603e-24,1.6607117043342285e-24,6.844120691657639e-22,3.321078367536319e-23,1.2666264275101259e-17,1.1245024377774835e-06,1.124560867006251e-06,0.0010000520083954,0.0010001039711708,2.001538687861175,2.0010648532856163,1.551234423976949,2.0009698528406803,1.0000519600730104,9.175713446612905e-24,5.1561688960167406e-27,1534.5700581955164,0.0172267507327784,5.304830039239256e-22,0.0057828872663033,0.0172267507327784,0.0057828872663033,1.814942608347876e-43,1.0348512883143895e-39,5.189207700032375e-23,4.7966514012861704e-30,1.1720552059875698e-50,6.682920419955253e-47,4.7966514012861704e-30
8,8,5.739455986551907e-07,608175.0000000001,2499.508519506074,1.1308001099017908,0.0386407978109745,1.1116754563090452,0.9830875028881924,0.9830875028881924,1.6607956334243417e-24,1.6610521350225373e-24,7.689362234015289e-22,3.3210789013670855e-23,1.2860920822777997e-17,1.1309748348595754e-06,1.1311495082792438e-06,0.0010001545144506,0.0010003089833246,2.004691469942092,2.0032835437882213,1.552996469764162,2.003001167998422,1.00015444500999,1.0304308183050034e-23,5.823098798867638e-27,1387.4944120687512,0.0172267507327781,5.959970842027438e-22,0.0057828872663022,0.0172267507327781,0.0057828872663022,2.3177837975671515e-34,3.7454635432773116e-35,9.874174046213879e-22,9.854551480502272e-29,1.96731937474523e-41,3.179404413541905e-42,9.854551480499988e-29
9,9,8.821780504356926e-07,608175.0000000001,2475.8633545547614,1.1396502986288102,0.0385748194255475,1.1116754563090452,0.9754531347436812,0.9754531347436812,1.6607797106654572e-24,1.6610202894963055e-24,7.610300743128906e-22,3.321086993792166e-23,1.2842712716098343e-17,1.1398154630649634e-06,1.1399805755538298e-06,0.001000144925541,0.0010002898055003,2.004396607453671,2.003076021838447,1.5528316580114545,2.002811171519834,1.0001448589655229,1.0198742731191263e-23,5.808549875114182e-27,1399.8714248620904,0.0172267507327875,5.898690833872067e-22,0.0057828872662542,0.0172267507327875,0.0057828872662542,2.838187547046821e-26,4.213444931199781e-31,4.612905976595179e-21,9.817193278106566e-28,3.894001910732179e-33,5.782136351709899e-38,9.817154337509244e-28
10,10,1.2771239496001575e-06,608175.0000000001,2446.573513034868,1.1503601999806152,0.0384766930357817,1.1116754563090452,0.9663716254506876,0.9663716254506876,1.660780024431794e-24,1.6610161206054672e-24,7.588094756753204e-22,3.321276569059203e-23,1.2837627842990068e-17,1.1505271339207596e-06,1.1506906926401743e-06,0.0010001451144955,0.0010002872949355,2.0043136240763224,2.003017617808976,1.552785273728186,2.0027576994406644,1.0001421598105706,1.0169094681033226e-23,5.846091603096996e-27,1403.3968841788442,0.0172267507327844,5.881479129274227e-22,0.0057828872662556,0.0172267507327844,0.0057828872662556,5.1302247810007507e-20,5.7831146315488e-28,1.443424130129279e-20,1.307691834216044e-26,8.151393076013195e-27,9.211047720542765e-35,4.925525174036767e-27
