,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
0,0,0.0,512774.9999999999,2150.0,1.1116754563090447,0.03875465,1.1116754563090443,0.9999999999999998,0.9999999999999998,1.4901327247760852e-19,1.660539131934866e-24,4.800286584411558e-12,3.321078263869749e-23,1.2567588138810746e-17,0.0997594106953997,1.111675507048307e-06,89.73789079289232,0.0010000000456421,1.9999399719905624,88.00959055791596,68.22448880458599,88.00959055791596,1.0,6.409502931828665e-14,3.5608349621270365e-17,2.179744580432004e-07,0.0172267507328509,3.720668529557468e-12,0.0057828872662223,0.0172267507328509,0.0057828872662223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6.46626788063455e-09,512774.9999999998,2149.967900459206,1.1116901257773564,0.0387545827840588,1.1116754563090443,0.999986804354944,0.999986804354944,1.6605391711426092e-24,1.6605391319348712e-24,6.4157451630411595e-22,3.321078263869757e-23,1.2567588138836189e-17,1.1116902027659091e-06,1.1116901765172915e-06,0.0010000000692536,0.0010000000456421,1.9999399719906512,1.9999403352494745,1.550341345154632,1.999940335249468,1.0000000000000004,8.603732135938248e-24,4.7799142606843416e-27,1623.8394057605433,0.0172267507327868,4.972799165638556e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,4.6485483813604266e-129,2.054348684696729e-82,1.2261970140110405e-33,4.4071919718523873e-42,1.6707792363711156e-137,7.383731102854745e-91,4.4071919718523873e-42
2,2,4.761538810352566e-08,512775.0,2149.764012909059,1.111783304641378,0.0387541555735417,1.1116754563090443,0.9999029951863072,0.9999029951863072,1.6605455927395947e-24,1.6605520535479415e-24,6.447730347807637e-22,3.32107826386975e-23,1.2574976781256806e-17,1.1117876810982312e-06,1.1117920068133222e-06,0.0010000039364297,0.0010000078272194,2.0000596917616664,2.000024203909761,1.5504079581485408,2.00001708953972,1.0000038907744389,8.646439822642092e-24,4.804043694609174e-27,1616.7686745210756,0.0172267507327868,4.997590658454669e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,1.4257806862657408e-105,1.1379727315461947e-70,3.4825524547204024e-29,5.662839565138734e-37,2.3180277018435445e-113,1.8501108488132619e-78,5.662839565138734e-37
3,3,1.304093918953131e-07,512775.0,2149.3554703475825,1.1119700458077428,0.0387532988299812,1.1116754563090443,0.9997350742496984,0.9997350742496984,1.6605540595863353e-24,1.6605391319362642e-24,6.452711056533116e-22,3.321078263874611e-23,1.2567588138848465e-17,1.1119800927729615e-06,1.1119700965613872e-06,0.001000009035284,0.0010000000456429,1.999939971990801,2.0000782751087494,1.5504482752781006,2.0000782751087427,1.0000000000000004,8.653090231241124e-24,4.8085462584148816e-27,1614.5768627856564,0.0172267507327868,5.001451170922812e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,3.5765601481069543e-94,5.701758764399691e-65,8.057091745674058e-27,2.914693877092663e-34,1.27943944451408e-101,2.0396953143513774e-72,2.914693877092663e-34
4,4,2.6112550653629744e-07,512775.0,2148.714328265333,1.1122632237712395,0.0387519534185152,1.1116754563090443,0.9994715572270724,0.9994715572270724,1.6605535710181786e-24,1.6605391319362183e-24,6.451498011248469e-22,3.321078264037459e-23,1.2567588139010079e-17,1.1122729461324017e-06,1.1122632745382345e-06,0.0010000087410614,0.0010000000456429,1.999939972002821,2.0000737486276474,1.550444766378022,2.0000737486276408,1.0000000000000004,8.651470532674611e-24,4.808913753871427e-27,1614.879138335225,0.0172267507327868,5.000510948014004e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,2.073295188825342e-86,4.343624794688532e-61,3.1296394580402533e-25,1.826309659438943e-32,1.1208607381917426e-93,2.349191794276801e-68,1.826309659438943e-32
5,5,4.716084892020818e-07,512775.0,2147.6907600408254,1.1127315467657293,0.0387498023140887,1.1116754563090443,0.9990509027449124,0.9990509027449124,1.6605621663229683e-24,1.6605852007239727e-24,6.530030087875049e-22,3.32107826970917e-23,1.2593930167688657e-17,1.1127470329566594e-06,1.1127624683687706e-06,0.0010000139172749,0.0010000277889156,2.0003667891730714,2.0002402753005764,1.5505795583235753,2.000214913067368,1.0000138714475564,8.756329183680995e-24,4.869248714856828e-27,1598.8849633453417,0.0172267507327867,5.0613806108825e-22,0.0057828872662222,0.0172267507327867,0.0057828872662222,1.664001397121612e-79,1.2317130511541586e-57,5.8097237790489874e-24,6.141557228726132e-31,1.546469323094457e-86,1.1457299325595951e-64,6.141557228726132e-31
6,6,9.383101005661728e-07,512775.0,2145.4540641011017,1.1137556049183377,0.0387450713292061,1.1116754563090443,0.9981323114333996,0.9981323114333996,1.6607875547777566e-24,1.6610359777597786e-24,7.649245738365401e-22,3.321078549346848e-23,1.2851682377347716e-17,1.1139222777495592e-06,1.114088899839894e-06,0.0010001496493759,0.0010002992531935,2.004541884318602,2.003178272631454,1.55291286489477,2.0029047891372582,1.0001495814328012,1.0250743294600897e-23,5.7055135082353024e-27,1393.7428204549706,0.0172267507327864,5.928876827064792e-22,0.0057828872662219,0.0172267507327864,0.0057828872662219,3.7810257859554335e-64,5.888501322039093e-50,1.3292660716164245e-22,2.924692341226945e-29,7.348429962343455e-71,1.1444312926067608e-56,2.924692341226945e-29
7,7,2.0459127403747115e-06,512775.0,2140.258935546125,1.1161317657445666,0.0387337129065039,1.1116754563090443,0.9960073625961632,0.9960073625961632,1.6636096531627193e-24,1.6605391322233916e-24,1.4039329526825464e-21,3.321094672683039e-23,1.2567604449996225e-17,1.1181956683425769e-06,1.1161318168811572e-06,0.0010018491567585,0.0010000000458159,1.99994118222092,2.028336984366137,1.5723542514466184,2.028336984364785,1.0000000000004432,1.8782996718183762e-23,1.047682835352662e-26,743.8162089511393,0.0172267507327867,1.0881786040895244e-21,0.0057828872662222,0.0172267507327867,0.0057828872662222,8.846415074072684e-47,2.8923391778005437e-41,3.2090482838385525e-21,1.6861520084678168e-27,4.1690293219856276e-53,1.3630659208252406e-47,1.6861520084678168e-27
8,8,3.266700404654591e-06,512775.0,2134.5582904727635,1.1187213775683595,0.0387201737838752,1.1116754563090443,0.9937018086892824,0.9937018086892824,1.662587260522743e-24,1.660539135015662e-24,1.1500982471186169e-21,3.3212397259351323e-23,1.2567748589855318e-17,1.1201012728591869e-06,1.1187214307047752e-06,0.0010012334575154,0.0010000000474974,1.999951877342828,2.018904325865285,1.5650421130738634,2.018904325865277,1.0000000000000009,1.5393712598053618e-23,8.606266467155388e-27,907.5950690524968,0.0172267507327868,8.914331006505938e-22,0.0057828872662221,0.0172267507327868,0.0057828872662221,9.379196588924936e-25,2.289734414026332e-36,1.882023123198363e-20,1.4503707098492865e-26,4.421350999725991e-31,1.0794302767394121e-42,1.4503264963392893e-26
9,9,5.723272318518936e-06,512775.0,2122.521329863793,1.1240827546355554,0.0386863440758982,1.1116754563090443,0.9889622910098522,0.9889622910098522,1.6642354753912036e-24,1.6622811550371967e-24,1.127620043953194e-21,3.665468148792188e-23,1.2582841814940596e-17,1.1265850029951995e-06,1.125262048380646e-06,0.001002226035716,0.001001049116482,2.000093528234712,2.018159868646163,1.5644650144543897,2.018159868644731,1.0000000000005094,1.5097433440301764e-23,8.481074656370603e-27,926.5175085288552,0.0172267507327866,8.740104027245616e-22,0.0057828872662221,0.0172267507327866,0.0057828872662221,4.613255791644836e-21,8.10262967628675e-31,1.2581903503245832e-19,1.939190643841822e-25,4.8991013040615465e-27,8.600211291539455e-37,1.890199630792606e-25
