d_m[nm],dN/dlogdm
2.47205,7.28E+10
2.88526,5.03E+10
3.25971,3.20E+10
3.59397,2.15E+10
3.99487,1.49E+10
4.42247,9.00E+09
4.71986,5.30E+09
5.03724,3.56E+09
5.35414,2.04E+09
5.62196,9.24E+08
5.90317,4.64E+08
6.27455,2.33E+08
6.64222,1.20E+08
7.00289,6.21E+07
7.53484,2.15E+07
7.84764,8.31E+06
8.07429,3.66E+06
