d_m[nm],dN/dlogdm
2.49135,1.42E+10
2.67943,8.56E+09
2.90176,5.90E+09
3.0566,3.77E+09
3.20856,2.12E+09
3.39151,1.01E+09
3.56013,6.20E+08
3.69847,3.75E+08
3.84219,1.42E+08
3.99149,1.00E+08
4.08951,6.89E+07
4.35275,2.25E+07
