t[s],z[m],T[K],density[kg/m3],area[m2],mean_MW[kg/mol],gas_mdot[kg/s],velocity[m/s],gas_h[J/s],total_h,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_carbon_mass_flow[kg/s],total_hydrogen_mass_flow[kg/s],soot_carbon_mass_flow[kg/s],soot_h[J/s],soot_mass[kg/kg],volume_fraction[-],SSA[m2/g],carbon_yield[-],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s]
0.011031041703839626,0.046950783191626544,1800.7473655623037,0.22791383212897762,9.503317777109122e-05,0.03366928575118062,9.757540469906721e-05,4.505010344588408,106.5960900713479,112.75805843041343,3.7568437600863156e-07,0.00015609321263349555,2.0320657316222115,0.43778303332507573,12503.320804991985,51563777130.25678,21424249028643.188,6.506842430950926,98.11212640202494,140.27543933232135,48.553877516582574,415.4902961147078,3.197876424754117e-06,1.073502434818796e-06,2.3815367096552406e-06,6.161968359065526,0.02484842680010606,3.146277874660312e-06,503.1835981237499,0.7447244337603371,5.572720499502238e-06,-0.00025318189999860803,5.085294868669875,1258.0946354639634,0.002106488348811846,5.085294868669875,1258.0946354639634
0.011144878184377299,0.047465529800922515,1813.0891442917425,0.2258116208976334,9.503317777109122e-05,0.03358736066617135,9.74020572064427e-05,4.5388731233938895,106.08949186918409,112.75805843040902,3.5023389957571457e-07,0.00015637136460747885,2.1823049703459443,0.45703929492123524,13120.032266151791,47627235423.25348,21264462990698.51,6.659451355783597,103.71654039288593,149.20060951905123,50.89847844487098,446.4769538211821,3.197876424754169e-06,1.073502434818804e-06,2.5530700936916778e-06,6.66856656122494,0.026672360608105745,3.346071656712525e-06,491.89617892930727,0.7983642125551066,1.6009860096310232e-06,-0.00021311855549136568,2.6193952400781404,1290.4876419777167,0.0006051727116405267,2.6193952400781404,1290.4876419777167
0.011249679884726123,0.04794286487850537,1824.6259109054388,0.2239025417361797,9.503317777109122e-05,0.03351531407681358,9.724586873908925e-05,4.5702337695809625,105.62305150124126,112.75805843038953,3.3013428135359726e-07,0.0001566226281723741,2.3181365753117307,0.474385419540108,13666.261140083188,44514402980.04931,21118566535027.66,6.79121088073966,108.69785245980997,157.17176733015563,52.966569297926526,474.42097661048456,3.197876424754302e-06,1.073502434818856e-06,2.7076301827208997e-06,7.1350069291482585,0.028321318908965627,3.5228973827990733e-06,482.5432453909089,0.846696314394048,6.921236490090523e-07,-0.00018411467023743042,1.5493960031978737,1209.0458335192948,0.0002616227393254218,1.5493960031978737,1209.0458335192948
0.011336680862126145,0.04834155226934071,1833.6270043245536,0.22245300086201497,9.503317777109122e-05,0.033462601155308344,9.712888509160886e-05,4.594481105045241,105.26663890936769,112.758058430386,3.1542690608067127e-07,0.0001568113105134982,2.420160543430049,0.4873987612216485,14070.000475996037,42255953902.82064,21007122032908.004,6.886649444144165,112.57018195210178,163.4125207354089,54.55495381321673,497.139931599219,3.1978764247543137e-06,1.0735024348188665e-06,2.8233956863613415e-06,7.491419521018321,0.02955984623844974,3.653153611534939e-06,475.9835474954059,0.8828970577200196,3.413085333263319e-07,-0.00016450601766822235,1.123231556965609,1057.0015356263907,0.00012901462559735346,1.123231556965609,1057.0015356263907
0.011432938940899105,0.04878496392802348,1842.3672291361524,0.22108493018554493,9.503317777109122e-05,0.03341533141770951,9.702125579199398e-05,4.617789552826567,104.93201905759769,112.75805843038847,3.008500314958061e-07,0.00015698528957193547,2.5142439963824397,0.49939559092232866,14437.6596788952,40055310932.59021,20901093326740.25,6.972179081695389,116.47897418706692,169.77287624094217,56.13126535734888,521.8057940410216,3.1978764247542912e-06,1.0735024348188506e-06,2.9299046049669324e-06,7.826039372790789,0.030701975396199194,3.7709689372372313e-06,470.25181580604533,0.9162031973135836,1.5142620784312318e-07,-0.000146506880528275,0.8400885067502585,833.5783782740418,5.723910656470056e-05,0.8400885067502585,833.5783782740418
0.011522188980569144,0.049197919733953016,1849.0899200939655,0.22006757432532284,9.503317777109122e-05,0.033382935219140056,9.694493271337592e-05,4.63548818654376,104.68903160958975,112.7580584303924,2.8865597067518085e-07,0.00015710889143225181,2.5810878505531147,0.5079198076928894,14696.287711568442,38254938386.39884,20821294455257.86,7.031582120471971,119.72150063090325,175.11214710397073,57.41073754839296,544.2772968276603,3.197876424754267e-06,1.0735024348188442e-06,3.0054331132581966e-06,8.06902682080265,0.03151342933914789,3.852824418521522e-06,466.3499980724669,0.9398215296877745,8.56805002847214e-08,-0.00013256451206545173,0.6737186200221688,620.5126507930889,3.238722910762469e-05,0.6737186200221688,620.5126507930889
0.011624380288870381,0.04967247644594318,1855.2441729225677,0.2191743428996245,9.503317777109122e-05,0.033358093483009485,9.688324775660854e-05,4.6514186011699765,104.48642713719431,112.7580584303962,2.760030793696914e-07,0.00015720892926001726,2.6351882787347805,0.5148224803174032,14904.098193123176,36429612019.838394,20749986964187.305,7.078868734794704,123.01762442728085,180.61154994743072,58.67930389913824,569.591214775703,3.197876424754242e-06,1.0735024348188525e-06,3.0664755483155045e-06,8.271631293201887,0.032170187476043395,3.917155389455301e-06,463.28913078986596,0.9589099580538385,6.825270233827036e-08,-0.00011913486678078287,0.5627964788813775,413.4192604563324,2.57995214838662e-05,0.5627964788813775,413.4192604563324
0.011748353382503345,0.050250067965364964,1860.9427383631332,0.21839245809435343,9.503317777109122e-05,0.03334118862469737,9.683670468074958e-05,4.665829184111042,104.32559169175919,112.7580584303969,2.622358779149205e-07,0.00015728449765670889,2.6760536592210618,0.5200433869503968,15060.199261548136,34489003896.933304,20685901928222.71,7.114133516805272,126.53749310456985,186.57065884115582,59.9956756210015,599.7825274989187,3.1978764247542523e-06,1.073502434818839e-06,3.112533157290937e-06,8.432466738637709,0.032666284234950174,3.963372283821997e-06,461.0319053501344,0.9733125186465532,6.657467301574203e-08,-0.00010563371931608023,0.4903934064345952,237.9027449244262,2.5165226399950488e-05,0.4903934064345952,237.9027449244262
0.01187533094499941,0.050843243194722054,1865.3182416996688,0.21782841440045345,9.503317777109122e-05,0.033333268427392565,9.68098191819636e-05,4.676612207493047,104.22501514982386,112.75805843039417,2.496498677971653e-07,0.0001573281860090446,2.6996766768426057,0.5230696014574189,15150.101693393923,32748904433.36499,20638207317101.473,7.1343451949005825,129.75316391100841,192.08762660511766,61.16634318972685,630.1953507817199,3.197876424754276e-06,1.073502434818847e-06,3.1391374385390486e-06,8.533043280570315,0.03295307072382562,3.9878417474427425e-06,459.7477977201119,0.9816318774067081,6.068112732424668e-08,-9.42065588144959e-05,0.4379871071859927,131.71344813508273,2.2937466128565248e-05,0.4379871071859927,131.71344813508273
0.012020378790250428,0.05152226188172298,1869.0421778815546,0.21737438328334852,9.503317777109122e-05,0.03333019825410247,9.67933779570903e-05,4.685584445877329,104.1562997958521,112.75805843039046,2.3684421814613573e-07,0.00015735491755215644,2.71412853785904,0.524929776885143,15204.982130755643,31004308909.955322,20598689343040.688,7.146648291085347,133.1037524664826,197.896097044645,62.36030833152307,664.381502676441,3.197876424754297e-06,1.0735024348188535e-06,3.1554058390326595e-06,8.601758634538362,0.03312852708332516,4.000718413235286e-06,458.9694583315443,0.9867191285486586,4.8288886874051194e-08,-8.339217642589134e-05,0.38064537407435195,67.88775833709087,1.8253199238391352e-05,0.38064537407435195,67.88775833709087
