,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],HE,AR,N2,H,H2,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,CH3O2,CH3OOH,C2H5O2,C2H5OOH,C2H2OH,C2H3OH,C2H4O,C2H5OH,C2H4OH,CH3CHOH,C3H8,NC3H7,IC3H7,C3H6,C3H5,CH3CCH2,AC3H4,PC3H4,C3H3,C2H5CHO,CH3COCH3,CH3COCH2,C2H3CHO,C3H5OH,NC3H7O2,NC3H7OOH,IC3H7O2,IC3H7OOH,C4H2,NC4H3,IC4H3,C4H4,NC4H5,IC4H5,C4H5-2,C4H6,C4H612,C4H6-2,C4H7,IC4H7,IC4H7-1,C4H81,C4H82,IC4H8,NC4H9,SC4H9,IC4H9,TC4H9,C4H10,IC4H10,H2C4O,CH2CHCHCHO,CH3CHCHCO,CH3CHCHCHO,C3H7CHO,IC3H7CHO,C2H5COCH3,C2H3COCH3,OH*,CH*
0,0.0,455962.50000000006,2200.0,0.9660421578946312,0.03875465000000001,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.435742274069807e-19
1,2e-23,455962.50000000006,2200.0,0.9660421578946312,0.03875465000000001,0.0,0.95,0.0,5.417826647629398e-21,1.5826580444765844e-36,0.0,0.0,0.0,0.0,0.0,0.0,8.166465478347964e-69,2.9212770166077996e-35,6.935567027930092e-42,5.049908920859609e-56,5.4178266476294e-21,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775399171747787e-97,3.563357316126114e-75,3.213938902534387e-69,2.0187612039191865e-50,8.252408824597152e-57,3.8624443034888185e-57,0.0,0.0,0.0,0.0,0.0,9.808893078202469e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.181119535058573e-93,4.0812461077562465e-89,4.2110884532891577e-94,6.823747921372969e-87,1.0934219583008205e-103,1.7431805633848771e-121,8.906320079888717e-99,9.0805127889907e-99,-2.1411064489702504e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3253685895846223e-152,-1.9093855867730117e-139,-2.3845550726769683e-136,-8.632772668559654e-119,-3.2064658835466915e-103,-7.362852460613833e-104,-4.10632873281696e-121,-2.9256928387575687e-103,-8.086799129108787e-107,-1.0901193301313968e-119,-4.372221952878182e-123,1.989337327254552e-120,3.15880897705318e-138,3.755129084852697e-108,8.404875842687886e-109,7.475117898107837e-125,1.5716973866937422e-93,3.2140904585335072e-93,2.1355514129659888e-126,5.293457212565753e-132,2.73200979127704e-92,9.44380609679013e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9212668389819e-35
2,2.2e-22,455962.50000000006,2200.0,0.9660421578946312,0.03875465000000001,0.0,0.95,0.0,5.959609312392322e-20,1.8342395064150237e-34,0.0,0.0,0.0,0.0,0.0,0.0,8.929825798955577e-67,3.634443093314246e-35,8.038054137100006e-40,6.376562245428015e-53,5.959609312392358e-20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782163619298793e-93,3.572042244071467e-72,3.767846729527717e-67,3.0776001016639102e-49,1.0431259752697675e-53,4.882230227122372e-54,0.0,0.0,0.0,0.0,0.0,1.619672988101055e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.430806132620482e-88,8.031299462169979e-86,6.852355001030759e-89,1.340873385872771e-83,1.6999055766747632e-99,4.355975434584861e-117,1.5058506857639772e-96,1.535302604079151e-96,6.281551591728718e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.122901629124687e-147,-3.61935800199361e-135,-4.520071033988396e-132,-1.0017059903498249e-115,9.407089910999936e-101,2.1601045392009288e-101,-4.764789075228424e-118,8.583361428351902e-101,2.3724951165093278e-104,-1.2649227601761247e-116,4.7144081610357217e-119,3.7264824943698825e-117,1.3835911665086098e-133,4.306261092759537e-103,9.63844091987044e-104,5.137222867259288e-119,1.8023719432741457e-89,3.685815421371772e-89,6.58238155297565e-121,1.0247893507232677e-124,3.13298083857394e-88,1.8282781043949248e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.633263545807035e-35
3,2.2200000000000002e-21,455962.50000000006,2200.0,0.9660421578946312,0.03875465000000001,0.0,0.95,0.0,6.013787578868449e-19,1.8605196723404134e-32,0.0,0.0,0.0,0.0,0.0,0.0,9.150092401427376e-65,3.9264423649614694e-35,8.153219793335689e-38,6.520140731370062e-50,6.013787578868821e-19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782180106886475e-89,3.572063412378237e-69,3.950133953006205e-65,3.458608200718094e-48,1.0667109670615793e-50,4.9926170476624506e-51,0.0,0.0,0.0,0.0,0.0,1.8526627795595358e-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.820753239920538e-83,1.049327037255464e-82,7.169294563962837e-84,1.5489095008678627e-80,1.8626605876073063e-95,4.927988899241671e-112,1.7477069869644057e-94,1.781889326695585e-94,1.5694801211249114e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.418367281979285e-142,1.410074114545566e-130,1.7609850027046895e-127,1.5034752630262896e-111,2.350413014585976e-97,5.3971396785177526e-98,7.151542046426333e-114,2.1445999348325117e-97,5.927809186112659e-101,1.8985411866206185e-112,5.301672508934746e-113,1.3095553072511916e-113,1.6373462521810734e-129,4.361417096970248e-98,9.761893231862782e-99,4.079605088360526e-113,1.825457314168421e-85,3.733024553961123e-85,8.139825408860643e-116,1.0905617544049065e-117,3.1731090845421605e-84,1.9456195321136184e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8067976111544526e-35
4,2.222e-20,455962.50000000006,2200.0,0.9660421578946312,0.03875465000000001,0.0,0.95,0.0,6.019205405514401e-18,1.8631593694436416e-30,0.0,0.0,0.0,0.0,0.0,0.0,2.4190570517128297e-62,1.5830543378495147e-34,8.164787545661244e-36,6.534610939927821e-47,6.019205405518125e-18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782180153917115e-85,3.572063471286872e-66,1.0174609517483423e-62,9.310217981068119e-47,1.0690879508986875e-47,5.003742245019097e-48,0.0,0.0,0.0,0.0,0.0,4.320053202229368e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.860451626721355e-78,1.4071369868173563e-78,7.201560451112496e-79,2.877720397821295e-77,3.3986158581907906e-91,8.150135688121666e-107,8.552287432063464e-92,8.719673262202793e-92,8.507080028315655e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7356005286457813e-134,1.793699530339106e-124,2.240079397029741e-121,1.209477568008925e-106,1.2739983989316187e-93,2.9254208798934493e-94,5.753090785421898e-109,1.1624411821968561e-93,3.213060583681669e-97,1.5272901614199234e-107,5.301292417498284e-107,8.693927356999692e-108,3.339990056118987e-124,4.366932707793187e-93,9.774238486304169e-94,3.9548167256909854e-107,1.8277658556148511e-81,3.737745476103334e-81,1.7806712332741987e-110,1.0973285364625498e-110,3.17712191672788e-80,1.9576918272316178e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.849092852874744e-35
5,2.2222e-19,455962.5000000001,2199.999999999999,0.9660421578946319,0.038754650000000015,0.0,0.9500000000000002,0.0,6.019747188162347e-17,1.863423457076654e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.5285669868638728e-58,1.2021742826505948e-32,8.165944838168714e-34,6.536059087768904e-44,6.019747188199612e-17,0.04999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782180814071947e-81,3.5720641844280037e-63,6.301372577212762e-59,5.860212925086532e-44,1.0693258346637731e-44,5.004855632446963e-45,0.0,0.0,0.0,0.0,0.0,2.45270445740228e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.864428557871808e-73,1.3138410586843437e-73,7.204792804331261e-74,1.308538300165771e-72,1.53514768517684e-85,3.099568433431678e-100,2.4749146487602328e-86,2.5233315781990258e-86,6.806515006326707e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5368824066422108e-126,1.5495678242458437e-117,1.93519310152244e-114,1.0115649668482513e-100,1.0193261601895423e-88,2.340629340622433e-89,4.81168501472717e-103,9.300692274745097e-89,2.5707698778157246e-92,1.2773723650328576e-101,5.3018606319152607e-101,8.730324522772412e-102,3.896994982951707e-117,4.36748426857251e-88,9.775473010673037e-89,4.0253324731635085e-101,1.827996709665973e-77,3.7382175678592316e-77,9.483203287719811e-104,1.098007139648343e-103,3.1775231999370774e-76,1.9589024910333303e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8594028062508936e-35
6,2.2222200000000003e-18,455962.50000000006,2199.999999999989,0.9660421578946358,0.03875464999999999,0.0,0.9499999999999996,0.0,6.01980136626081e-16,1.863449866978614e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.5197072150667446e-54,1.1983704963363399e-30,8.166060577518118e-32,6.536203912576059e-41,6.019801366633461e-16,0.0499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782246732073607e-77,3.572135446529894e-60,6.262744944617397e-55,5.825586322180389e-41,1.0693496248567118e-41,5.00496698005315e-42,0.0,0.0,0.0,0.0,0.0,2.4337418591484828e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.864826321801506e-68,1.3129530736674548e-68,7.205116096367714e-69,1.2927641310400726e-67,1.5164833185168236e-79,3.048689612773636e-93,2.4314272710979558e-80,2.478983091869265e-80,6.789117304865651e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5345759748230162e-118,1.5468591516782055e-110,1.931810348563157e-107,1.0094593188192384e-94,1.016720717490436e-83,2.334646588660086e-84,4.801669133056378e-97,9.276919294635686e-84,2.5641988853055116e-87,1.2747134190331228e-95,5.3019264987592284e-95,9.21934691089485e-96,1.3230201271722548e-109,4.367539421603016e-83,9.775596452313917e-84,4.869187973332406e-95,1.8280197941253242e-73,3.738264772430013e-73,9.399546649217853e-97,1.0980750189771904e-96,3.1775633281459043e-72,1.9590235915721237e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8633027900077985e-35
7,2.222222e-17,455962.50000000006,2199.9999999998927,0.9660421578946725,0.03875464999999977,0.0,0.9499999999999943,0.0,6.019806782406981e-15,1.8634525075471048e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.5196230805793136e-50,1.1983340864869437e-28,8.166072200693151e-30,6.536218382647975e-38,6.019806786133508e-15,0.04999999999999369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7888376959604444e-73,3.579261299908745e-57,6.262375514962864e-51,5.825248788266335e-38,1.0693520035147154e-38,5.004978116741002e-39,0.0,0.0,0.0,0.0,0.0,2.4335374371898657e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.864866097239601e-63,1.3129494060207604e-63,7.205148416377789e-64,1.2926101349860674e-62,1.5163022421905484e-73,3.04819389980116e-86,2.4310035382959025e-74,2.4785500143074254e-74,6.788961235619339e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5345550443998548e-110,1.5468343966551834e-103,1.9317794286451272e-100,1.0094399378954726e-88,1.0166965743782651e-78,2.334591150408786e-79,4.801576944882232e-91,9.276699006822988e-79,2.5641380844127795e-82,1.2746889454849637e-89,5.301933137735134e-89,1.411767791281811e-89,1.0677923435978971e-101,4.3675449072287675e-78,9.775608689918086e-79,1.332178246690954e-88,1.828022093113088e-69,3.7382694468378587e-69,9.398756255368801e-90,1.0980818044068801e-89,3.1775673398448894e-68,1.9590356995933276e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.250669809600417e-35
8,2.2222222000000003e-16,455962.5000000001,2199.999999998924,0.9660421578950456,0.03875464999999767,0.0,0.9499999999999427,0.0,6.019807307384899e-14,1.8634527672688218e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.5196236414420262e-46,1.1983351208510048e-26,8.166073854893633e-28,6.536219704441896e-35,6.019807344650196e-14,0.04999999999993681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4479262684521876e-69,4.291843538029993e-54,6.262377395641366e-47,5.825250604247918e-35,1.0693522375825082e-35,5.004979248815715e-36,0.0,0.0,0.0,0.0,0.0,2.433535325774466e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.864870058143512e-58,1.3129499229798337e-58,7.20515155067968e-59,1.292609804934267e-57,1.5163031337599877e-67,3.048197779564902e-79,2.431003145842796e-68,2.4785495044572724e-68,6.789476670601811e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5345568771437228e-102,1.5468359009213366e-96,1.9317812636352316e-93,1.0094405648754991e-82,1.016696728390617e-73,2.334591508149837e-74,4.8015799328867644e-85,9.27670043687319e-74,2.5641393601405033e-77,1.2746897641959067e-83,5.301933963995939e-83,6.3101900833849475e-83,1.0422962956275044e-93,4.3675452388341833e-73,9.775608988460506e-74,9.784937494186405e-82,1.8280222284306086e-65,3.7382694537873106e-65,9.398764293091773e-83,1.0980824559915203e-82,3.177567729796616e-64,1.9590368866314335e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3920447545475968e-32
9,2.2222222200000004e-15,455962.5000000001,2199.9999999892416,0.966042157898774,0.03875464999997668,0.0,0.9499999999994282,0.0,6.019807193515917e-13,1.8634527498884496e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.5196333514272763e-42,1.1983476031204188e-24,8.166078939140467e-26,6.536218584477088e-32,6.019807566168883e-13,0.04999999999936794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.935724186749366e-64,7.555049528079807e-50,6.26241673244778e-43,5.825293804832392e-32,1.0693522230073396e-32,5.004979546073625e-33,0.0,0.0,0.0,0.0,0.0,2.4335490755205e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.864870287765186e-53,1.3129502902421858e-53,7.205150887060137e-54,1.2926179847691826e-52,1.516324666950818e-61,3.0482727861603244e-72,2.4310320648135467e-62,2.4785789381061398e-62,6.840929494276332e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53457456035617e-94,1.546850572655482e-89,1.9317991502857832e-86,1.0094468378399225e-76,1.0166986233345675e-68,2.3345959003176007e-69,4.801609827986896e-79,9.276717974885369e-69,2.564153012359377e-72,1.2747005818562311e-77,5.301997313088973e-77,5.529547579100304e-76,1.0397984945329265e-85,4.367551083984114e-68,9.775613804298383e-69,9.431494160824422e-75,1.8280212961504258e-61,3.7382648495752825e-61,9.398877087829283e-76,1.0980822515478725e-75,3.1775676566102724e-60,1.959036767661788e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.388182541383842e-29
