t[s],z[m],T[K],density[kg/m3],area[m2],mean_MW[kg/mol],gas_mdot[kg/s],velocity[m/s],gas_h[J/s],total_h,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_carbon_mass_flow[kg/s],total_hydrogen_mass_flow[kg/s],soot_carbon_mass_flow[kg/s],soot_h[J/s],soot_mass[kg/kg],volume_fraction[-],SSA[m2/g],carbon_yield[-],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s]
0.00017271774216036316,0.0008024364296941604,1850.5390993908302,0.23648291046381562,9.503317777109122e-05,0.035901158188686444,9.999999079726749e-05,4.44964072739906,112.7580340977737,112.75805843156436,1.7651433020784636e-08,1.765222973538459e-08,7.196255791645827e-06,5.54871545052593e-06,0.14047847527134155,2513799503.3400426,2513912966.125943,2.0509483308505536,2.050989987530095,1.5899147190155773,2.0509791875689714,1.0000451359727573,3.197876424746996e-06,1.0735024348164077e-06,8.643422035914722e-12,2.4333790667209377e-05,9.202733348758817e-08,1.2090495369649453e-11,1526.4864247130233,2.702863052814352e-06,0.0006534478616594155,-6.737363605915838e-08,0.023895258271169808,0.006094552786826565,0.24700329170725907,0.023895258271169808,0.006094552786826565
0.00020365668290715902,0.0009397362447704184,1837.1607900864392,0.23770056109883464,9.503317777109122e-05,0.03582513261962157,9.999997397216941e-05,4.426846145622324,112.75799032877453,112.7580584315375,4.7325931448860306e-08,4.7333615949369236e-08,2.0374365977634108e-05,1.5438356868512995e-05,0.3905873402100015,6774547348.521745,6775647358.832239,2.0884488953293268,2.088601487920676,1.619070920868741,2.088561925807941,1.000162373993996,3.1978764247469983e-06,1.0735024348164084e-06,2.4471644606296473e-11,6.810276298210938e-05,2.602783734808244e-07,3.437128634349112e-11,1500.6523015588823,7.6524672488658e-06,0.0013041455130634904,-4.894515964314134e-07,0.0946576637383113,0.015292644439333742,0.49296700393799936,0.0946576637383113,0.015292644439333742
0.0002497833007604377,0.001143307009294824,1822.1320099964414,0.23909402630974474,9.503317777109122e-05,0.035740365964067135,9.999991552442797e-05,4.401043447261844,112.75784001900794,112.7580584315088,1.3741645010739534e-07,1.3750850333136984e-07,6.624993422191225e-05,4.86393589732742e-05,1.2232231335573263,19786016002.332706,19799270358.424736,2.1683914082114963,2.169044945670279,1.6814301904420768,2.168875491121627,1.0006698850385274,3.197876424746996e-06,1.073502434816408e-06,7.957272877436423e-11,0.0002184125008513101,8.447564337844486e-07,1.1220900944699173e-10,1448.018724258037,2.488299052414436e-05,0.0026819312280118076,-4.2124211643991e-06,0.42357625841426,0.042128847071157015,1.0137700041884632,0.42357625841426,0.042128847071157015
0.00030727953881518023,0.001395628851093233,1808.3004830024925,0.2404009677518961,9.503317777109122e-05,0.03566294813317596,9.999973828077378e-05,4.377109388487776,112.75738921629139,112.75805843148144,3.537036543427011e-07,3.5456861517450873e-07,0.00020577158843255674,0.0001445203997503819,3.570775697262308,51206685254.850784,51331908097.55637,2.307176141548458,2.309713362972463,1.790475475172452,2.309055297028254,1.0024454393421947,3.1978764247469983e-06,1.0735024348164073e-06,2.471516080213749e-10,0.0006692151900629541,2.617199111611824e-06,3.495428884616029e-10,1364.35003413371,7.728616594086443e-05,0.004955661602325956,-2.884880143633397e-05,1.6357163475887164,0.10772178400628359,1.8732400856792113,1.6357163475887164,0.10772178400628359
0.00037040172194339495,0.0016712645136627144,1796.8395425107929,0.24150110685692966,9.503317777109122e-05,0.03559908651868032,9.999928663864354e-05,4.357150138210849,112.7562512025779,112.75805843147009,7.52972273165928e-07,7.583708244999173e-07,0.0005623377247818822,0.0003764147231063318,8.992854187834865,109508798801.98936,110293939095.89465,2.5035575548016453,2.511619027439385,1.9469914941390583,2.5095265268401095,1.0071696548815678,3.197876424746997e-06,1.0735024348164084e-06,6.75419023022843e-10,0.001807228892187195,7.13366445324637e-06,9.571043674471845e-10,1260.621977214308,0.000211208606372674,0.007880685256200008,-0.0001365904364783386,4.932589353375522,0.23986945341993463,2.9788990268436026,4.932589353375522,0.23986945341993463
0.00045192553079917647,0.0020256336386045245,1785.541976801407,0.24259844520695587,9.503317777109122e-05,0.03553599743158717,9.999794292810303e-05,4.337383295053233,112.75289484384975,112.75805843145639,1.5228950903084856e-06,1.554730667325741e-06,0.0016260389427896664,0.0010325281655610159,23.186999354248368,222489184915.65005,227140241726.43393,2.8076586428834283,2.833920319951211,2.1968374573265197,2.827088242214478,1.02090464223035,3.197876424746999e-06,1.0735024348164086e-06,1.9529951988428482e-09,0.005163587606641257,2.057114213273219e-05,2.7725150541845172e-09,1127.1614966557402,0.0006107162815077695,0.011542330979291164,-0.0005953965414154899,14.072501158260739,0.5402962333546097,4.36300111017206,14.072501158260739,0.5402962333546097
0.0005540319493351685,0.0024675054818453553,1774.843925417217,0.24364318135198942,9.503317777109122e-05,0.03547520078212198,9.999421186103313e-05,4.318623580827364,112.74365646370185,112.75805843144256,2.7324317931152942e-06,2.891336618298006e-06,0.0045861600839707415,0.0027781461794475475,56.92083016115528,400917022962.26166,424232389738.1537,3.2257885565275983,3.3088958215359714,2.5650355205705204,3.287146090087948,1.0581550930504806,3.197876424747e-06,1.0735024348164071e-06,5.508118040875923e-09,0.01440196774070934,5.788474011745571e-05,7.835123463305577e-09,983.3477708573187,0.0017224299220104163,0.014100306714664161,-0.002085020747490309,33.433173409249996,1.153811764866903,5.329915938143053,33.433173409249996,1.153811764866903
0.0006491306117907366,0.002877531647088425,1767.0968425720996,0.2443964076263445,9.503317777109122e-05,0.03542954711062459,9.998823250553371e-05,4.305056234136183,112.72896582072138,112.75805843144047,3.7642688897567285e-06,4.2225826742928e-06,0.009337057988648563,0.005497410895716703,103.73810036965585,554021171975.5026,621475317116.981,3.603542738943386,3.7947534336416324,2.941669328404366,3.7442271227325294,1.1217537317228397,3.197876424746996e-06,1.073502434816407e-06,1.1213420656215677e-08,0.029092610719089616,0.00011768879368454035,1.59792879968776e-08,881.4611580412769,0.003506520942910678,0.013446287809927467,-0.004280662846473229,52.041846344682526,1.8950696349235254,5.082696792152582,52.041846344682526,1.8950696349235254
0.0007637759678563062,0.0033703102296150063,1759.6221276926592,0.24511596815633613,9.503317777109122e-05,0.03538355391254132,9.997873505155217e-05,4.292010681827764,112.70581137574023,112.75805843143868,4.506367938328496e-06,5.604538860264019e-06,0.01689167725623825,0.009730930927319567,169.26506982793128,665195278596.3757,827298800181.9424,3.995428309198129,4.407418586947486,3.4166035557732446,4.296693958960634,1.2436931331317027,3.197876424746999e-06,1.0735024348164073e-06,2.0284279193508043e-08,0.05224705569845878,0.00021269471389941577,2.896381706621679e-08,795.8123017010073,0.006343046603219772,0.010515549708123515,-0.0067279355550871,63.54721846711268,2.803979634077465,3.9748777896706886,63.54721846711268,2.803979634077465
0.0008855354230331713,0.0038921989639482293,1753.1862271599218,0.2457302718373655,9.503317777109122e-05,0.03534248996405777,9.996788425074865e-05,4.280816451029401,112.67957501441671,112.75805843143756,4.693392030071495e-06,6.703656128687063e-06,0.025531108319618946,0.014490600949284236,236.64058022079752,694538616915.6025,992021980278.769,4.319548542643793,5.071186266187295,3.9311521443312363,4.8645946512032925,1.428317959747536,3.197876424746998e-06,1.0735024348164071e-06,3.065556577516209e-08,0.07848341702085221,0.0003212606677838217,4.385748401398448e-08,736.599913874407,0.009586225889759768,0.0077181722067098885,-0.00801149773689119,63.7148669933193,3.6223642411222383,2.917469094136338,63.7148669933193,3.6223642411222383
