t[s],z[m],T[K],density[kg/m3],area[m2],mean_MW[kg/mol],gas_mdot[kg/s],velocity[m/s],gas_h[J/s],total_h,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_carbon_mass_flow[kg/s],total_hydrogen_mass_flow[kg/s],soot_carbon_mass_flow[kg/s],soot_h[J/s],soot_mass[kg/kg],volume_fraction[-],SSA[m2/g],carbon_yield[-],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s]
9.938244044570541e-06,4.995225843396979e-05,2169.786353655363,0.21057002992953205,9.503317777109122e-05,0.03748210426122366,0.0001,4.99721677823824,112.75805843169496,112.75805843169496,1.6605390671738477e-24,1.6605390671738477e-24,6.277008081676883e-22,3.32129114404739e-23,1.2565806205998009e-17,2.105700313281712e-07,2.105700313281712e-07,1.9999550853339474,1.9999550853339474,1.5503527793286414,1.9999550853339474,1.0,3.1978764247469996e-06,1.0735024348164099e-06,7.5393144069021045e-28,2.5092017078191076e-21,7.572793021634103e-24,8.858906962309135e-28,1659.3357523571249,2.357600296421266e-22,1.9682024351268257e-33,-5.6786339565989734e-40,5.670215466517607e-35,8.22404340879525e-21,7.439805204779402e-31,5.670215466517607e-35,8.22404340879525e-21
1.4773759291651642e-05,7.404793118646556e-05,2154.6168488056765,0.21177780498487758,9.503317777109122e-05,0.037433542335336085,0.0001,4.968717503862716,112.75805843169468,112.75805843169468,1.6605390964434047e-24,1.6605390964434047e-24,6.277915607562731e-22,3.32242629821746e-23,1.2567017421564942e-17,2.1177781012444879e-07,2.1177781012444879e-07,2.000051453021296,2.000051453021296,1.550427482962245,2.000051453021296,1.0,3.197876424746999e-06,1.0735024348164099e-06,7.540404436243597e-28,2.48520542908166e-21,7.573894493329629e-24,8.91101528324667e-28,1659.254354894009,2.3579411567913093e-22,8.399720565290708e-26,-5.691283783580998e-40,3.7085185101051737e-31,3.275024183106338e-20,3.1750943736798876e-23,3.7085185101051737e-31,3.275024183106338e-20
2.0147786514317764e-05,0.00010066100274985728,2136.2049208800954,0.21321454978173113,9.503317777109122e-05,0.03736544689662237,0.0001,4.935235834680111,112.75805843169546,112.75805843169546,1.6699243873846196e-24,1.6699243873846196e-24,6.316453583430322e-22,3.6100644663016196e-23,1.2642122908434423e-17,2.1441963385822763e-07,2.1441963385822763e-07,2.000374054792235,2.000374054792235,1.5506775618544457,2.000374054792235,1.0,3.1978764247469974e-06,1.07350243481641e-06,7.58669239905816e-28,2.4716187323850415e-21,7.62308184887848e-24,9.029733135321731e-28,1658.4005208201131,2.3724157507613457e-22,1.8184533978396248e-20,-5.7704260442140054e-40,1.7378700505316924e-28,8.616915633784929e-20,6.873753843833782e-18,1.7378700505316924e-28,8.616915633784929e-20
2.6526697944972104e-05,0.0001320078128879352,2112.040504917633,0.215076349412979,9.503317777109122e-05,0.03726536087917251,0.0001,4.892514167317766,112.75805843169415,112.75805843169415,2.602147101302087e-22,2.602147101302087e-22,9.838158329760806e-20,7.822254454809337e-20,1.969361089335474e-15,3.370353121853873e-05,3.370353121853873e-05,2.0000753939716924,2.0000753939716924,1.550446041838521,2.0000753939716924,1.0,3.197876424746997e-06,1.0735024348164082e-06,1.1816611969875706e-25,4.022512188533585e-19,1.2605095218920486e-21,1.506143257604674e-25,1562.3532033137092,3.6951434015498514e-20,3.421791229856176e-16,-1.4052189374099482e-35,3.720078931432103e-24,2.842221491351395e-17,1.2934370848856344e-13,3.720078931432103e-24,2.842221491351395e-17
3.389695124302483e-05,0.00016787564560554624,2081.9316874505244,0.21739525848774768,9.503317777109122e-05,0.037130173191921974,0.0001,4.840326757252119,112.7580584316768,112.7580584316768,8.454147640477202e-19,8.454147640477204e-19,3.19728191401049e-16,2.556731211534602e-16,6.399549900780448e-12,0.11068042060164747,0.1106804206016475,2.000273647604292,2.000273647604292,1.5505997268250324,2.000273647604292,1.0000000000000002,3.197876424746995e-06,1.0735024348164082e-06,3.8402553069180004e-22,1.281693519988404e-15,4.097973813040688e-18,4.949333757566675e-22,1561.6375781649995,1.2008767059289424e-16,7.671142576273205e-13,-1.4885788007635166e-28,5.735687887086932e-19,1.642226092203945e-13,2.8996918938312716e-10,5.735687887086932e-19,1.642226092203945e-13
4.1192586482563904e-05,0.00020299945524062583,2051.8028520398248,0.21973935729828042,9.503317777109122e-05,0.03698740912397645,9.999999999999992e-05,4.788691927999098,112.75805843165939,112.75805843165973,2.3103905246566633e-16,2.310390524656747e-16,8.742200889143834e-14,6.987735170794603e-14,1.7495023068267552e-09,30.57342897883509,30.573428978836205,2.000618013282462,2.0006180132824944,1.5508666769631738,2.000618013282486,1.0000000000000362,3.1978764247469928e-06,1.073502434816409e-06,1.0500257487950653e-19,3.433289383026956e-13,1.1204621193166757e-15,1.3678312554206417e-19,1561.4113825585694,3.2835094585561985e-14,1.4989935828455318e-10,-1.1156378541554037e-23,2.1970081293074307e-15,6.545033233454755e-11,5.66619574315611e-08,2.1970081293074307e-15,6.545033233454755e-11
5.0016070667560735e-05,0.00024499220247971797,2017.838165660521,0.2224239880470532,9.503317777109122e-05,0.03681954246421491,9.999999999998685e-05,4.730892993139049,112.7580584316119,112.75805843165134,2.7149408763916283e-14,2.7149408764082e-14,1.0282475747246771e-11,8.212475562230277e-12,2.0571097117706041e-07,3636.577982339951,3636.5779823621483,2.001235284851468,2.0012352848569646,1.5513451820596627,2.00123528485554,1.000000000006104,3.197876424746998e-06,1.0735024348164086e-06,1.2350281620016474e-17,3.9439569382632715e-11,1.3178099156690912e-13,1.6284029829503898e-17,1561.0063995657133,3.86202591333515e-12,1.2134229334101647e-08,-1.5466009029616056e-19,2.331682130557878e-12,1.0197074001973043e-08,4.586738688290422e-06,2.331682130557878e-12,1.0197074001973043e-08
5.910667292755695e-05,0.00028776007209486667,1987.7198118436527,0.2248460822662139,9.503317777109122e-05,0.03666493532275184,9.999999999959888e-05,4.679930715038669,112.75805843049893,112.75805843167419,8.254634293751205e-13,8.254634295911924e-13,3.1302669842002887e-10,2.4974493711107485e-10,6.259779941119933e-06,111772.26904857703,111772.26907783435,2.0020744659224388,2.0020744661582657,1.551995710200206,2.0020744660971252,1.0000000002617584,3.1978764247469974e-06,1.0735024348164088e-06,3.7597636747078864e-16,1.175246953703896e-09,4.011506571330931e-12,5.010952980827401e-16,1560.4561103942235,1.1757063673920235e-10,2.59188205623411e-07,-1.4347363904753405e-16,3.291782172876742e-10,3.6188819364173554e-07,9.797314172564936e-05,3.291782172876742e-10,3.6188819364173554e-07
6.996473124929965e-05,0.000338298575887465,1958.6870866596985,0.22721887401141996,9.503317777109122e-05,0.03651067780213061,9.999999999323592e-05,4.631059330194254,112.75805841230327,112.75805843170956,1.3895198443819149e-11,1.3895198532405323e-11,5.278722662448327e-09,4.205189492481772e-09,0.00010549851555561437,1901341.2137988785,1901341.225920515,2.003274250345337,2.003274256092508,1.5529257799166727,2.0032742546025006,1.0000000063753083,3.1978764247470017e-06,1.07350243481641e-06,6.340273789437825e-15,1.9406282361209282e-08,6.764156890708848e-11,8.538578401908066e-15,1559.669848884281,1.982651280822847e-09,2.977076679128788e-06,-4.079338514574404e-14,1.890450679156591e-08,6.5561268000710835e-06,0.0011253349847106819,1.890450679156591e-08,6.5561268000710835e-06
7.947100465332384e-05,0.0003821564532965958,1938.5571351642657,0.22888680053600918,9.503317777109122e-05,0.03640070424291497,9.999999996081176e-05,4.597312224564602,112.75805832095033,112.7580584317351,8.036914176512878e-11,8.036914571764013e-11,3.0585226570721e-08,2.432928686828214e-08,0.0006109088995902358,11077990.398587089,11077990.943396723,2.004440468878028,2.0044405132378165,1.5538298552231133,2.0044405017371303,1.0000000491794643,3.197876424747e-06,1.0735024348164099e-06,3.6735915619696834e-14,1.107847640793527e-07,3.9188307750415834e-10,4.983159099673984e-14,1558.906047898313,1.1487596998875027e-08,1.2758105010386533e-05,-1.3680151549140545e-12,2.278958678514283e-07,3.82287365633781e-05,0.0048225636939261095,2.278958678514283e-07,3.82287365633781e-05
9.530658941212022e-05,0.00045460060495237096,1912.991445203997,0.23103513915258242,9.503317777109122e-05,0.036257804137196856,9.999999970157928e-05,4.554562943445883,112.75805760397692,112.75805843171985,6.10209184096341e-10,6.102095285525869e-10,2.3294609461700704e-07,1.8481380112041926e-07,0.004648028875287785,84899998.73127463,84900046.65637247,2.006524785392023,2.0065252950892836,1.5554459651854913,2.0065251629455374,1.0000005644887933,3.1978764247469983e-06,1.0735024348164094e-06,2.797915534095312e-13,8.277429280462424e-07,2.9842078539742543e-09,3.83031598223984e-13,1557.5419349887834,8.749292225438853e-08,6.283644184588373e-05,-7.911520212694368e-11,3.890989739839903e-06,0.0002788043676317248,0.023752175017744046,3.890989739839903e-06,0.0002788043676317248
0.00011306354188732422,0.0005351503929117124,1892.1375619557637,0.2328175391499091,9.503317777109122e-05,0.03613922490118837,9.999999866276277e-05,4.519694161920488,112.75805478049377,112.75805843169108,2.724861608157679e-09,2.724871664855202e-09,1.0440426934452971e-06,8.257700229680493e-07,0.02080653316582449,382041947.0339824,382043357.0433167,2.0089838595454026,2.008987196109394,1.5573544155886774,2.0089863310737535,1.0000036907186378,3.1978764247469987e-06,1.0735024348164094e-06,1.253999662328196e-12,3.651197318756042e-06,1.3372372974123258e-08,1.7296238713500713e-12,1555.9342538595804,3.921351221154227e-07,0.00018787746244491835,-1.582000182460851e-09,3.055767630307409e-05,0.0011573274387965226,0.07101768080417914,3.055767630307409e-05,0.0011573274387965226
