t[s],lambda[m],N_agg[mol/kg],N_agg[#/m3],N_pri[mol/kg],N_pri[#/m3],n_p,d_p[nm],d_m[nm],d_g[nm]
2.554587083085739e-07,5.644020352975825e-07,3.5426550790749e-05,2.624127208689111e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0007352608570041,1.9999369869583437,2.000598567135095,1.5508516024303063
3.215289257375745e-07,5.644012320463126e-07,3.541981894825584e-05,2.6236285654213755e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0009254592361454,1.9999369869583437,2.000769662159135,1.5509842342318876
4.0034762542989444e-07,5.644002494009272e-07,3.54117908497608e-05,2.623033905449556e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0011523759771552,1.9999369869583437,2.0009737641943843,1.551142452863864
4.915961816967715e-07,5.643990787385333e-07,3.540250034078524e-05,2.622345735790327e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0014151036106664,1.9999369869583437,2.0012100448358354,1.55132561615181
5.984358087055025e-07,5.643976594654005e-07,3.5391627375967726e-05,2.621540349937629e+18,3.5452598546844106e-05,2.62605662670946e+18,1.001722756917298,1.9999369869583437,2.0014866854567472,1.5515400662455405
7.320898787309863e-07,5.643958021214211e-07,3.537803305227111e-05,2.620533386688321e+18,3.5452598546844106e-05,2.62605662670946e+18,1.00210767779155,1.9999369869583437,2.0018327389653336,1.5518083247793284
9.340026652000194e-07,5.643928012754589e-07,3.535751178520347e-05,2.6190133285944064e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0026892944904688,1.9999369869583437,2.002355488286237,1.5522135568110365
1.2951562233742679e-06,5.643867533295994e-07,3.532085365890811e-05,2.6162979757168594e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0037299463146687,1.9999369869583437,2.003290396260392,1.5529382916747223
1.7601145984531047e-06,5.643774588178426e-07,3.5273748509711236e-05,2.6128087874973517e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0050703439438433,1.9999369869583437,2.0044938067226523,1.553871168002056
2.2980314538350224e-06,5.643642737162826e-07,3.5219377192679735e-05,2.608781377286367e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0066219613393064,1.9999369869583437,2.005885748741707,1.5549501928230283
