t[s],lambda[m],N_agg[mol/kg],N_agg[#/m3],N_pri[mol/kg],N_pri[#/m3],n_p,d_p[nm],d_m[nm],d_g[nm]
0.0,1.3934950557244098e-07,3.5452598546844106e-05,2.62605662670946e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0,259.4845000698561,259.4845000698561,201.15077524795046
2.736285655085376e-05,1.3934950557344124e-07,2.7315795771665656e-05,2.0233446754331156e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2978790309897783,259.4845000698561,291.78759077314646,226.19193083189646
0.00012405381185277495,1.393495055734412e-07,1.583834372073503e-05,1.1731830440858002e+18,3.5452598546844106e-05,2.62605662670946e+18,2.23840315451866,259.4845000698561,372.89251002329655,298.03690067682334
0.0003198816486383875,1.3934950557344116e-07,9.062141884273159e-06,6.712539763744705e+17,3.5452598546844106e-05,2.62605662670946e+18,3.912165468118537,259.4845000698561,479.40125642511856,412.83878108910085
0.000698062377851021,1.3934950557344127e-07,5.207524368685561e-06,3.8573347054006144e+17,3.5452598546844106e-05,2.62605662670946e+18,6.807956341026734,259.4845000698561,615.1329117367369,568.8346624841288
0.0016588531077609203,1.3934950557344143e-07,2.6362203830052543e-06,1.9527098971631667e+17,3.5452598546844106e-05,2.62605662670946e+18,13.448268124847983,259.4845000698561,835.6247269152032,840.1132303481426
0.003829692632555631,1.3934950557344175e-07,1.3053746918172494e-06,9.669214670558067e+16,3.5452598546844106e-05,2.62605662670946e+18,27.158944300880794,259.4845000698561,1146.4951423821847,1250.7106440352813
0.009502388736713139,1.393495055734426e-07,5.874606092208689e-07,4.3514576900106136e+16,3.5452598546844106e-05,2.62605662670946e+18,60.34889487120474,259.4845000698561,1642.1492099833938,1953.9646690903521
0.025054309537382503,1.393495055734449e-07,2.4327099901647247e-07,1.801965004650713e+16,3.5452598546844106e-05,2.62605662670946e+18,145.732942644937,259.4845000698561,2441.8129993471102,3174.389990374597
0.04505430953738252,1.393495055734478e-07,1.4098871244091742e-07,1.0443362624251524e+16,3.5452598546844106e-05,2.62605662670946e+18,251.45699916722648,259.4845000698561,3121.1892239288345,4269.399850625591
0.06505430953738253,1.3934950557345067e-07,9.982149200960422e-08,7394010631787138.0,3.5452598546844106e-05,2.62605662670946e+18,355.15997440143525,259.4845000698561,3645.8788076680003,5142.506581142823
0.08505430953738255,1.3934950557345353e-07,7.74594167733615e-08,5737599585259261.0,3.5452598546844106e-05,2.62605662670946e+18,457.692557259692,259.4845000698561,4086.67078961164,5891.22870964135
0.10505430953738257,1.393495055734564e-07,6.337254686924162e-08,4694152290065126.0,3.5452598546844106e-05,2.62605662670946e+18,559.4314935770919,259.4845000698561,4472.985921358152,6557.3720194198195
0.12505430953738259,1.3934950557345922e-07,5.3668542599669894e-08,3975354070407002.0,3.5452598546844106e-05,2.62605662670946e+18,660.5843354326929,259.4845000698561,4820.356325953423,7163.4829321787065
0.1450543095373826,1.3934950557346208e-07,4.6569702924794295e-08,3449526465823287.5,3.5452598546844106e-05,2.62605662670946e+18,761.2803243365483,259.4845000698561,5138.146625665326,7723.379603696098
0.16505430953738262,1.3934950557346507e-07,4.1147083008222514e-08,3047860366588718.5,3.5452598546844106e-05,2.62605662670946e+18,861.606606226729,259.4845000698561,5432.509320294272,8246.26207445184
0.18505430953738264,1.393495055734681e-07,3.686737133551435e-08,2730852145493976.0,3.5452598546844106e-05,2.62605662670946e+18,961.6253413948341,259.4845000698561,5707.738607000804,8738.62390666196
0.20505430953738266,1.3934950557347118e-07,3.340227447077753e-08,2474184342376274.5,3.5452598546844106e-05,2.62605662670946e+18,1061.38276834592,259.4845000698561,5966.969742975504,9205.252153961781
0.22505430953738267,1.3934950557347423e-07,3.053851163585643e-08,2262058752765911.0,3.5452598546844106e-05,2.62605662670946e+18,1160.9144207675747,259.4845000698561,6212.573126104255,9649.796875114396
0.2450543095373827,1.393495055734773e-07,2.813143870644547e-08,2083761249159781.0,3.5452598546844106e-05,2.62605662670946e+18,1260.2483263225786,259.4845000698561,6446.391526942138,10075.117178252282
0.2650543095373824,1.3934950557348034e-07,2.6079457264234126e-08,1931766199852355.8,3.5452598546844106e-05,2.62605662670946e+18,1359.407068469346,259.4845000698561,6669.89053952619,10483.502496066232
0.2850543095373824,1.3934950557348338e-07,2.43090891587981e-08,1800630906938567.2,3.5452598546844106e-05,2.62605662670946e+18,1458.4091701359728,259.4845000698561,6884.258110278824,10876.820054653901
0.30505430953738244,1.3934950557348643e-07,2.276586418223054e-08,1686320635129745.5,3.5452598546844106e-05,2.62605662670946e+18,1557.270054106532,259.4845000698561,7090.47272159796,11256.616579170885
0.32505430953738246,1.3934950557348945e-07,2.1408538721831642e-08,1585780373880001.8,3.5452598546844106e-05,2.62605662670946e+18,1656.0027289807897,259.4845000698561,7289.351496840722,11624.190491196134
0.3450543095373825,1.393495055734924e-07,2.0205305471263035e-08,1496654081854953.0,3.5452598546844106e-05,2.62605662670946e+18,1754.6182905903852,259.4845000698561,7481.5850016901895,11980.64443539732
0.3650543095373825,1.393495055734954e-07,1.913123709509462e-08,1417095333204997.5,3.5452598546844106e-05,2.62605662670946e+18,1853.1262965704605,259.4845000698561,7667.7629743505,12326.92431871137
0.3850543095373825,1.3934950557349847e-07,1.8166518979028902e-08,1345636413254359.5,3.5452598546844106e-05,2.62605662670946e+18,1951.5350512538994,259.4845000698561,7848.393712924651,12663.848869592483
0.40505430953738253,1.3934950557350144e-07,1.729520060885522e-08,1281095830229255.2,3.5452598546844106e-05,2.62605662670946e+18,2049.85182586967,259.4845000698561,8023.918929559861,12992.132389070051
0.42505430953738255,1.3934950557350443e-07,1.6504296171130343e-08,1222511694653494.5,3.5452598546844106e-05,2.62605662670946e+18,2148.0830311842396,259.4845000698561,8194.725301326333,13312.402518300974
0.44505430953738256,1.393495055735074e-07,1.5783125422466146e-08,1169092895999954.8,3.5452598546844106e-05,2.62605662670946e+18,2246.234354596199,259.4845000698561,8361.153572238161,13625.214295857135
0.4650543095373826,1.3934950557351038e-07,1.5122823084850224e-08,1120182762458209.4,3.5452598546844106e-05,2.62605662670946e+18,2344.3108702607183,259.4845000698561,8523.505811582525,13931.061410387283
0.4850543095373826,1.3934950557351337e-07,1.4515968517571534e-08,1075231629870695.0,3.5452598546844106e-05,2.62605662670946e+18,2442.317128473298,259.4845000698561,8682.051264727459,14230.385303998977
0.5050543095373826,1.3934950557351626e-07,1.3956302591487034e-08,1033775869949578.8,3.5452598546844106e-05,2.62605662670946e+18,2540.2572289074064,259.4845000698561,8837.0311157638,14523.58260801033
0.5250543095373826,1.3934950557351925e-07,1.3438508698045085e-08,995421669104575.6,3.5452598546844106e-05,2.62605662670946e+18,2638.1348811420894,259.4845000698561,8988.662399171315,14811.011270086487
0.5450543095373827,1.3934950557352216e-07,1.2958041548911943e-08,959832347232156.6,3.5452598546844106e-05,2.62605662670946e+18,2735.9534550821822,259.4845000698561,9137.14123898277,15092.995643827186
0.5650543095373827,1.3934950557352513e-07,1.2510992017467926e-08,926718346210067.2,3.5452598546844106e-05,2.62605662670946e+18,2833.716023265378,259.4845000698561,9282.645551349111,15369.8307478895
0.5850543095373827,1.3934950557352804e-07,1.209397946403668e-08,895829254176032.5,3.5452598546844106e-05,2.62605662670946e+18,2931.425396600672,259.4845000698561,9425.337315132652,15641.785854570124
0.6050543095373827,1.3934950557353108e-07,1.1704065234138137e-08,866947398141687.2,3.5452598546844106e-05,2.62605662670946e+18,3029.084154746234,259.4845000698561,9565.364491894532,15909.107532588976
0.6250543095373827,1.393495055735342e-07,1.1338682623352274e-08,839882656326759.5,3.5452598546844106e-05,2.62605662670946e+18,3126.694672080218,259.4845000698561,9702.8626591478,16172.022242275598
0.6450543095373827,1.3934950557353736e-07,1.0995579761800946e-08,814468227479482.6,3.5452598546844106e-05,2.62605662670946e+18,3224.2591400234987,259.4845000698561,9837.95640745089,16430.738561130212
0.6650543095373828,1.393495055735405e-07,1.067277271882002e-08,790557157230331.4,3.5452598546844106e-05,2.62605662670946e+18,3321.779586323257,259.4845000698561,9970.76054171219,16685.449102164992
0.6850543095373828,1.3934950557354366e-07,1.0368506754630586e-08,768019467912972.9,3.5452598546844106e-05,2.62605662670946e+18,3419.257891789571,259.4845000698561,10101.381119174812,16936.332175344487
0.7050543095373828,1.3934950557354678e-07,1.0081224113155474e-08,746739772903099.6,3.5452598546844106e-05,2.62605662670946e+18,3516.695804885471,259.4845000698561,10229.916350379994,17183.553232981423
0.7250543095373828,1.3934950557354985e-07,9.809537102149533e-09,726615282600919.9,3.5452598546844106e-05,2.62605662670946e+18,3614.0949544984637,259.4845000698561,10356.457384550558,17427.266132477947
0.7450543095373828,1.39349505573553e-07,9.552205474301847e-09,707554128996665.9,3.5452598546844106e-05,2.62605662670946e+18,3711.456861163811,259.4845000698561,10481.088996984687,17667.614243867585
0.7650543095373828,1.393495055735561e-07,9.308117327900849e-09,689473950938332.1,3.5452598546844106e-05,2.62605662670946e+18,3808.7829469634885,259.4845000698561,10603.890192974957,17904.731424863854
