t[s],z[m],T[K],density[kg/m3],area[m2],mean_MW[kg/mol],gas_mdot[kg/s],velocity[m/s],gas_h[J/s],total_h,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_carbon_mass_flow[kg/s],total_hydrogen_mass_flow[kg/s],soot_carbon_mass_flow[kg/s],soot_h[J/s],soot_mass[kg/kg],volume_fraction[-],SSA[m2/g],carbon_yield[-],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s]
0.00656364036540611,0.027758255461146113,1695.9767567769418,0.25006588193094575,9.503317777109122e-05,0.0347924306501702,9.964183202321498e-05,4.192878009048232,111.92462896577236,112.75805843120496,6.814581511855036e-06,0.00029826851095800786,0.289117563203439,0.1209952966283791,4228.545276626844,1026229602638.311,44917208040943.086,2.7374197858154603,14.992259780753942,17.239588754081332,9.647115403141527,43.76916035696732,3.1978764247480787e-06,1.0735024348167728e-06,3.460153342524842e-07,0.8334294654326064,0.0035945543106379123,4.993752187990846e-07,1176.3754032350173,0.10820159640154302,0.0628175853147879,-0.06385572691885542,26.593991487386525,76.22187736807338,23.745047248989827,26.593991487386525,76.22187736807338
0.007441768595736483,0.03144656911306876,1700.540230689109,0.24866740420201322,9.503317777109122e-05,0.03469095084868464,9.947651765270216e-05,4.209463778163362,111.53509005699833,112.75805843111299,5.992527297139306e-06,0.0003516416379441597,0.4247032337139157,0.15998067167501623,5772.483184369313,897387027468.9019,52658691160179.734,2.9456476974245143,18.407780478671945,21.83872779817573,11.446627795598229,58.68002271963372,3.197876424749152e-06,1.0735024348171324e-06,5.074407126944071e-07,1.2229683741146513,0.005262371057186258,7.269889726323949e-07,1096.9357959823924,0.15868052585382605,0.057327561293626386,-0.05819616037752716,35.02883188111165,130.84272752779682,21.669818168990773,35.02883188111165,130.84272752779682
0.008099451103814414,0.03422190002898083,1707.7438801164385,0.24687018951112574,9.503317777109122e-05,0.03458611810175286,9.929435146224483e-05,4.2323450266179155,111.09915142441035,112.75805843097245,5.456121485107864e-06,0.0003884775869815763,0.5751739304257604,0.1966459859312454,7304.55311479404,811154510362.3654,57754459411301.78,3.15256067906101,21.492172890530444,26.01667484256976,13.06644464730867,71.20031840234883,3.1978764247505944e-06,1.0735024348176148e-06,6.859664955417903e-07,1.6589070065620997,0.007106633232162503,9.746754960055673e-07,1027.8500207011964,0.21450688032639056,0.05248311374241895,-0.05329521531819723,42.377089205666486,215.48002272974892,19.838616994634364,42.377089205666486,215.48002272974892
0.008574224748603938,0.03623729286343142,1716.7971484969028,0.24480722522344361,9.503317777109122e-05,0.03447891944187167,9.91012847007237e-05,4.259712978012694,110.628675918512,112.7580584308169,5.067097997739148e-06,0.0004131792862447207,0.735687927871433,0.23046297323103565,8785.789626211026,747023803006.5353,60913517337097.79,3.352515094489167,24.293573279232255,29.81938711226487,14.53774860078807,81.54160160886453,3.1978764247520424e-06,1.0735024348181001e-06,8.75693409297168e-07,2.1293825123049057,0.009068654378680666,1.2333733971973588e-06,968.8085199128747,0.2738359126452013,0.0480427262551095,-0.04894710782901188,48.50475094661759,341.2748682171713,18.16015052443139,48.50475094661759,341.2748682171713
0.0089243411285938,0.03773383942843078,1727.5414761293282,0.2424877501126596,9.503317777109122e-05,0.03436597889726085,9.889333157707624e-05,4.291435672425606,110.11168072277391,112.75805843066229,4.7152280670634915e-06,0.0004300928186654903,0.909630502786406,0.2628514708681901,10257.375956221635,688562573111.1624,62806255325285.6,3.5504765921932875,27.059104703425287,33.593036807803365,15.98231979154053,91.21357706316415,3.197876424753327e-06,1.0735024348185313e-06,1.0804662113963149e-06,2.646377707888372,0.011190526251602658,1.5075364074043238e-06,916.6124743018781,0.3378699073657282,0.043107054301350124,-0.04433560688588563,53.349274911256686,526.8170532612833,16.294466525910348,53.349274911256686,526.8170532612833
0.009192748183002178,0.03889034445032468,1740.342560417808,0.2398352449397246,9.503317777109122e-05,0.03424192551395563,9.866099312786276e-05,4.328705214916962,109.52104563069668,112.75805843050235,4.315668067261554e-06,0.0004419038259936072,1.1051337439870703,0.2956692518423695,11784.866856044027,623321266765.9686,63825124711652.14,3.7544651009275394,30.142130732016508,37.85620323982597,17.56472336397875,102.39523038063746,3.1978764247544657e-06,1.0735024348189196e-06,1.309602482170461e-06,3.237012799805668,0.013571796004885811,1.808330566168758e-06,868.3351011024264,0.4095225419081259,0.036646995324618896,-0.03858373075598664,56.44490120972839,800.4608542935654,13.852564232705943,56.44490120972839,800.4608542935654
0.009390266472861404,0.03974911792855264,1754.4836340965128,0.23701091032676908,9.503317777109122e-05,0.03411364233995483,9.841665790778832e-05,4.36944163761315,108.88453013883723,112.75805843042666,3.8428236305977395e-06,0.00044951555309039124,1.3119543789959072,0.3276461819141282,13288.203275140144,548491240566.18994,64159942549847.07,3.9528504393065136,33.694018049933156,42.877700779533455,19.33192668019687,116.97532759797005,3.197876424754791e-06,1.0735024348190374e-06,1.5508382835175715e-06,3.8735282915894165,0.016088151397489283,2.1183707823298986e-06,825.9620976225957,0.48495879062627206,0.028586222974157395,-0.031661541268671614,56.690225634445966,1153.4910658970539,10.805592284231496,56.690225634445966,1153.4910658970539
0.009538531576715583,0.040399972096954666,1769.5181244105497,0.23411496390269257,9.503317777109122e-05,0.03398557488561806,9.816801890161175e-05,4.412316485246379,108.2197758228458,112.75805843046811,3.300060199365767e-06,0.000454267504891218,1.5236329691693382,0.3584662894973625,14733.174457681807,465266668430.6504,64045961530538.51,4.140396591663902,37.974962752897355,49.09762560884435,21.37823657924,137.65430854216626,3.1978764247542963e-06,1.0735024348188533e-06,1.7965096537296952e-06,4.538282607622312,0.018661689612506263,2.4272115499973094e-06,789.4877025394456,0.5617820750755953,0.019657448227479387,-0.024084726980288705,53.3539964639235,1541.329957823841,7.430515429987208,53.3539964639235,1541.329957823841
0.00965885852226645,0.040933519496752835,1785.59556372497,0.23113303812039449,9.503317777109122e-05,0.03385755231589344,9.791377302215299e-05,4.4576677422122515,107.5210570007165,112.7580584305559,2.707204342688729e-06,0.0004573041462430346,1.7413064073114057,0.3888355784665954,16140.762413661794,376820022524.06,63652882041590.19,4.319257195375586,43.43770893132552,57.26952814764497,23.87648721711436,168.92117784830805,3.1978764247536547e-06,1.073502434818641e-06,2.0478500406137185e-06,5.237001429839411,0.021306777521311625,2.7359445672533797e-06,757.5412282555333,0.6403781036585035,0.011136202992203735,-0.016612916925600633,45.987620147980934,1888.7232992371669,4.209484731053012,45.987620147980934,1888.7232992371669
0.00975560216912129,0.04136682260897764,1801.1099365768378,0.22836378666050816,9.503317777109122e-05,0.03374254921297171,9.767962325142062e-05,4.5009355821701496,106.85922354398559,112.75805843058274,2.1699503234366204e-06,0.0004591766312263569,1.9428442559938932,0.4161408571192326,17386.978515763818,298420004571.168,63147755462220.945,4.473750732017693,49.79208084055571,67.04341492436195,26.659281741082296,211.60697840268713,3.197876424753562e-06,1.0735024348186105e-06,2.27940307878462e-06,5.898834886597145,0.023754972342718842,3.0137641312216205e-06,731.9300677314035,0.7127864795353858,0.005207405933903136,-0.010784937022230353,36.076049919080575,2069.7229829883067,1.9683994430153855,36.076049919080575,2069.7229829883067
