dm,dN/dm
2.84482,3.66E+06
3.12316,5.74E+06
3.45015,7.88E+06
3.81137,1.61E+08
4.18429,2.10E+08
4.65123,4.29E+08
5.17027,5.44E+08
5.57116,5.59E+08
6.15445,6.05E+08
6.7988,5.03E+08
7.51062,4.64E+08
8.29696,3.12E+08
9.22284,1.99E+08
10.2521,5.44E+07
11.1159,2.21E+07
12.3564,1.41E+07
13.6501,3.66E+06
15.0792,2.66E+06
16.658,1.89E+06
18.402,502515
20.3286,767463
22.5972,690368
24.8082,266249
27.5766,288251
30.4638,204336
33.6533,97388.1
37.4087,78804.6
41.5833,672336
45.937,337859
51.382,252522
