dm,dN/dm
2.84482,2.40E+07
3.12316,1.79E+07
3.47169,1.41E+07
3.81137,2.59E+07
4.15833,4.07E+07
4.62237,7.88E+07
5.10632,3.12E+08
5.57116,5.16E+08
6.84124,1.30E+09
7.60468,1.74E+09
9.10876,2.53E+09
10.1884,2.81E+09
11.1159,3.29E+09
12.3564,3.38E+09
13.5654,3.29E+09
14.9857,3.12E+09
16.5546,2.88E+09
18.2878,2.40E+09
20.2025,1.79E+09
22.3177,1.30E+09
24.8082,8.76E+08
27.5766,4.64E+08
30.087,2.46E+08
33.6533,1.00E+08
37.4087,2.81E+07
41.0689,8.09E+06
45.652,6.38E+06
51.0632,2.53E+06
