,t[s],T[K],density[kg/m3],mean_MW[kg/mol],mdot[kg/s,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_v[nm],d_g[nm],n_p,soot_mass[kg/kg],volume_fraction,SSA,total_carbon_mass_flow[kg/s],carbon_yield,total_hydrogen_mass_flow[kg/s],soot_mass_flow[kg/s],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],soot_h[J/m3],C_mass_error,H_mass_error,enthalpy_error
27,0.00018384962461176244,1770.706893809903,0.16736564726081624,0.0243181536000204,0.004808151650508078,2.881876595059058e-24,2.8818765950590604e-24,1.1598213544478993e-21,4.1288640618401254e-22,2.2504804399077933e-17,2.9046419587251566e-07,2.904641958725159e-07,0.001735506662367023,0.0017355066623670245,2.0293656375267966,2.029365637528078,2.029365637527615,1.5731516569985102,1.0000000000014961,1.43468037857072e-23,1.333978945399341e-27,1568.6284370528597,0.0004933217398390006,1.341424230057324e-22,8.28021503218232e-05,6.898160830176361e-26,1.328377064887142e-19,-6.816308626686212e-40,7.7444501535591365e-28,1.8381167061442954e-18,1.7105325901848883e-19,-0.01202040155314702,0.012020401553146305,-0.7195523792933511
28,0.00019415907947438615,1771.1235777649981,0.16735292491541692,0.02432201037650383,0.005508116666755084,5.164859092401937e-24,5.164859092401942e-24,2.0487609490464708e-21,1.1053187647022387e-21,4.0098655397640903e-17,5.205263150488312e-07,5.205263150488317e-07,0.003110350866660468,0.0031103508666604704,2.0238538134715442,2.0238538134734574,2.0238538134727615,1.568878925173223,1.0000000000022469,2.5721829073817014e-23,2.3914574053764926e-27,1558.9348363432862,0.0005651389337922986,2.714509132167402e-22,9.48563891870175e-05,1.4167883542091699e-25,3.415639176991148e-19,-2.1854547033330545e-39,2.2300947082787857e-27,3.4932895392032765e-18,3.5144127967575337e-19,0.13180849693957988,0.13180849693958177,-0.6777537865713972
29,0.00020607503983792417,1771.9718237344143,0.16730815958420447,0.024327136718167223,0.006057838627315503,1.236809452777526e-23,1.2368094527775265e-23,4.83890020730397e-21,3.2870936391588217e-21,9.543405207338608e-17,1.2461514382024545e-06,1.246151438202455e-06,0.007448240667397212,0.007448240667397216,2.0180886856089457,2.018088685615546,2.0180886856131375,1.564409833810501,1.00000000000779,6.143342077820005e-23,5.7101736485348214e-27,1553.4549576515087,0.0006215410221046992,7.051171128889134e-22,0.00010432326205670343,3.721537493983071e-25,9.754723386562883e-19,-1.2507316191831725e-38,9.029994916752345e-27,8.793375737287795e-18,9.237935195071687e-19,0.24476543368563847,0.24476543368563922,-0.6443595222288612
30,0.00021956854875050514,1773.2225593967346,0.16723389256025772,0.02433349384111958,0.006380859882487128,3.6952200013219415e-23,3.695220001321943e-23,1.4351629870988817e-20,1.0729758791183344e-20,2.8417548107433023e-16,3.721478410284937e-06,3.7214784102849386e-06,0.02225313513493692,0.02225313513493693,2.014979760050392,2.014979760057468,2.0149797600548403,1.561999813998036,1.000000000008449,1.8319302324195946e-22,1.702004575924147e-26,1551.235282028149,0.0006546833643578612,2.202811436077131e-21,0.00010988607630883672,1.168929012756151e-24,3.0332616614317274e-18,-1.1151318540514837e-37,4.768951694344069e-26,2.7473246526179846e-17,2.904621959693663e-18,0.3111398813261447,0.31113988132614423,-0.62392624153783
31,0.0002330620576630861,1774.610668117051,0.1671488335835109,0.02434015401220285,0.006474179978980826,1.0933382837293233e-22,1.093338283729323e-22,4.2397647522336017e-20,3.2641030713401603e-20,8.403538346353945e-16,1.1005475490705629e-05,1.1005475490705627e-05,0.06584237086648334,0.06584237086648333,2.0144845870564807,2.014484587061755,2.014484587059762,1.5616159589625997,1.0000000000063753,5.42140303349887e-22,5.034339963530243e-26,1550.0670757050252,0.0006642581106867026,6.602728161453983e-21,0.00011149316053154475,3.50991389774643e-24,8.550948345095866e-18,-9.759379944083848e-37,2.381928201967915e-25,8.438934101193334e-17,8.73163842360985e-18,0.3303153063465104,0.3303153063465122,-0.6169367767163197
32,0.000248647427478306,1776.2319995265173,0.1670498251923144,0.02434796252189168,0.00641433284109007,3.4725270566002333e-22,3.4725270566002333e-22,1.348840935007967e-19,1.0467021245823213e-19,2.672193322594703e-15,3.4933537734884e-05,3.4933537734884e-05,0.20912046866656175,0.20912046866656175,2.0156047796926084,2.015604779696031,2.015604779694696,1.562484325345761,1.0000000000042244,1.7256004211959682e-21,1.6014513817365032e-25,1548.558571133563,0.0006581177273679836,2.0811774829766567e-20,0.0001104625208870074,1.1068575452276157e-23,2.4341630449173588e-17,-9.847103141410697e-36,1.2882817229459322e-24,2.7826008378763497e-16,2.7572225268352864e-17,0.3180179090181105,0.3180179090181115,-0.6187753635985438
33,0.00026616206923272455,1777.9632343072235,0.1669468595895009,0.02435667552002362,0.0062486273192953355,1.085566420962794e-21,1.0855664209627942e-21,4.2336615242412014e-19,3.2823439159572e-19,8.374868109037807e-15,0.00010914040484923415,0.00010914040484923416,0.6537433834790017,0.6537433834790018,2.0179811048326317,2.017981104834776,2.0179811048339,1.5643264378564161,1.0000000000027305,5.415911123494593e-21,5.023163077129266e-25,1546.345188846814,0.0006411161554013274,6.363523409784707e-20,0.00010760887264083488,3.384201020514381e-23,6.566724825875389e-17,-9.630017624662766e-35,6.700675811134562e-24,9.029081886354186e-16,8.442200610044938e-17,0.28396871781468985,0.2839687178146914,-0.6267624849935852
34,0.00028875665043271104,1779.9743315932856,0.1668332634130763,0.02436764012815658,0.005998391546603668,3.753355529870932e-21,3.7533555298709336e-21,1.4739443307775726e-18,1.1362653457638712e-18,2.9080545303703374e-14,0.000377097153771175,0.0003770971537711751,2.260323547334136,2.2603235473341368,2.02200211078154,2.02200211078625,2.022002110784188,1.5674434967335278,1.0000000000062828,1.8848900825499414e-20,1.7470131313708305e-24,1542.8244635019912,0.000615441685100216,2.126732075270848e-19,0.00010329951187761438,1.130630873744466e-22,1.879494617438705e-16,-1.1526677051924134e-33,3.992657550193964e-23,3.259687733499289e-15,2.825133316068445e-16,0.2325502401560608,0.23255024015606104,-0.6394082393627661
35,0.00031277484238529464,1781.8289331353872,0.1667364793922972,0.024378884230206656,0.005756834025236456,1.1219468466509568e-20,1.121946846650957e-20,4.443761274746091e-18,3.3982624231404235e-18,8.738773430062185e-14,0.001126558671316282,0.0011265586713162822,6.756521880648069,6.756521880648072,2.0269650737360556,2.0269650737401688,2.026965073738315,1.5712907548373396,1.0000000000055955,5.679946519350086e-20,5.261412698738698e-24,1538.5309351578362,0.0005906576130962732,6.153629118002929e-19,9.913960103256011e-05,3.2698509384117956e-22,4.696331397996514e-16,-1.0316350734291157e-32,1.9252567882017165e-22,1.0161952715002605e-14,8.182910693938177e-16,0.18291497065765067,0.18291497065765247,-0.6515867165763474
36,0.00034010790164582433,1783.635554371511,0.16665161220311733,0.02439118636747079,0.005539405175808495,3.1885744873360195e-20,3.18857448733602e-20,1.2763570962942505e-17,9.660943196283313e-18,2.499813917567636e-13,0.0032000516758583447,0.0032000516758583456,19.202044514025324,19.202044514025328,2.0330985894270883,2.0330985894313924,2.033098589429425,1.5760454181638714,1.0000000000059137,1.6304148157775606e-19,1.5095069867176613e-23,1533.2379793024945,0.0005683491698341603,1.7007176500873462e-18,9.539521491846312e-05,9.031528269233073e-22,1.1250090221579997e-15,-8.350125406388021e-32,8.662566234940624e-22,3.019049557603612e-14,2.2635228507690424e-15,0.1382376636667411,0.13823766366674312,-0.6621868357852934
37,0.00037214609057411484,1785.4385881381068,0.16657779291182565,0.024405032063121484,0.005357670734814744,8.988003261859108e-20,8.988003261859112e-20,3.644660017558078e-17,2.7237467536159843e-17,7.102794788089825e-13,0.009016359720687508,0.009016359720687511,54.12702115377482,54.12702115377484,2.0405909798289166,2.0405909798328508,2.0405909798310096,1.5818534727386437,1.0000000000054923,4.652154819853499e-19,4.3052537898628205e-23,1526.775239245692,0.0005497030128207404,4.697101352663427e-18,9.226552941858353e-05,2.4924713732156447e-21,2.7025697539666787e-15,-6.6524070414320724e-31,3.8808430139026305e-21,8.931275423061908e-14,6.255981938619208e-15,0.10089484815508784,0.10089484815509044,-0.6703771847491504
38,0.00041113134657063554,1787.3138316754628,0.16651326615663334,0.024421204441105657,0.005214776400393018,2.6448298189357444e-19,2.6448298189357473e-19,1.0896282386094686e-16,8.014843216040414e-17,2.1105130571237895e-12,0.02652146301226058,0.02652146301226061,159.27537561669558,159.27537561669575,2.0497684446023268,2.0497684446098585,2.049768444606252,1.5889677865192706,1.0000000000106828,1.3895420970115194e-18,1.2854288501973642e-22,1518.8550686322194,0.0005350418942051052,1.3668187579371086e-17,8.980471723565785e-05,7.246151334848298e-21,6.852208327307051e-15,-5.779504782702988e-30,1.8700819061746088e-20,2.773985378674109e-13,1.8215420210677054e-14,0.07153290256683113,0.0715329025668336,-0.6757555151862018
39,0.0004332353728240907,1788.268151838454,0.16648503491739147,0.024430102588111614,0.00515956688119695,4.583131125329973e-19,4.583131125329979e-19,1.9050033674975515e-16,1.388689234483162e-16,3.677142369678535e-12,0.04595030406591317,0.045950304065913224,276.0026094159955,276.00260941599583,2.0548983703147825,2.0548983703364105,2.0548983703259487,1.592944473129,1.0000000000308942,2.4280794195372113e-18,2.2457715941325124e-22,1514.4242565094487,0.0005293773357541255,2.364317970523467e-17,8.885394295898014e-05,1.2527838157960109e-20,1.1092913681606623e-14,-1.7387516121940258e-29,4.184145317424364e-20,4.945523930449971e-13,3.1517137260318355e-14,0.06018844370393133,0.06018844370393294,-0.6772799957286766
